total.x 1 ::: totaled;minimum;total;result;maximum;fee;balance;totaling;net;sum
family.x 353 ::: fam;house;group;clan;crew;circle;collection;team;brother;class
hands.x 354 ::: hand;weapon;gun;eye;arm;saw;pistol;palm;l;head
occasional.x 355 ::: odd;least;mystic;average;little;casual;dwarf;eccentric;late;wandering
girl.x 356 ::: guy;man;lad;thing;friend;soul;problem;one;face;note
stood.x 357 ::: rose;said;sat;walked;went;entered;turned;spoke;stand;knocked
office.x 358 ::: biography;report;research;staff;archive;record;history;record;website;spokesman
seen.x 359 ::: heard;saw;noticed;got;seen;met;written;known;gotta;spotted
considered.x 360 ::: considering;considers;contemplated;like;consider;thought;hesitated;saw;heard;said
writes.x 361 ::: wrote;writer;write;writing;,;report;n;work;post;column
society.x 362 ::: civilization;Sweden;humanity;Salem;Philly;Babylon;Satan;humankind;Manhattan;Hell
next.x 363 ::: coming;past;last;first;next;upcoming;ahead;following;final;ensuing
mean.x 364 ::: meant;dunno;think;�;hope;mean;.;mean;thought;…
even.x 365 ::: even;and;Even;wh;n;w;event;,;despite;p
car.x 366 ::: room;back;,;phone;head;driver;road;U;D;cab
building.x 367 ::: roof;tent;room;rooftop;stall;bakery;school;tower;tavern;door
people.x 368 ::: folk;tale;folk;guy;,;boy;traveller;student;type;thing
finished.x 369 ::: done;dry;wet;ruined;dried;complete;chopped;ready;long;gone
plants.x 370 ::: plant;machine;factory;factory;facility;equipment;line;mill;machinery;ators
