precontext,target_sentence,postcontext,substitutions,replace,replace_proc
"I took the capturador, a matte black Tiempo Capturado, from his grip and studied it, not really thinking about it or Malaquez or Tasha.","I think I was wondering what it meant to say that a thing was art, so we accepted it as art.",Or perhaps I was thinking about the things that humanity made that would outlive our species.,"{'think': 'believe;guess;imagine;reckon;suppose;suspect', 'wondering': 'consider;grapple;mull;muse;ponder;question;speculate;surmise;think;turn;weigh', 'meant': 'be;envision;imply;intend;mean;purport;reflect;say;state;suggest;suppose;tell', 'say': 'announce;claim;conclude;consider;declare;insist;know;mention;pronounce;remark;state;tell;think', 'thing': 'anything;construction;creation;form;handiwork;item;matter;object;piece;sculpture;shape;statue;subject;work', 'art': 'artistic;artistry;beauty;creation;creativity;expertise;mastery;such;that', 'accepted': 'accept;acknowledge;believe;embrace;grant;name;pronounce;receive;take;understand;welcome'}","{'think': 'guess;suppose;mean;know;remember;feel', 'wondering': 'curious;thinking;remembering;questioning;asking;forgetting;imagining;wonder;wondered;contemplating;learning', 'meant': 'means;mean;Meaning;said;implied;used;supposed;like;read;wanted;intended;Had', 'say': 'mean;us;state;saying;hear;know;write;people;read;realize;assume;someone;think', 'thing': 'creature;painting;craft;commodity;piece;machine;things;creation;thing;good;something;species;drink;project', 'art': 'made;beauty;done;something;artist;work;sacred;art;born', 'accepted': 'accept;took;treated;embraced;considered;recognised;ate;admitted;saw;absorbed;bought'}","{'think': 'guess;suppose;mean;know;remember;feel', 'wondering': 'curious;thinking;remembering;questioning;asking;forgetting;imagining;wonder;wondered;contemplating;learning', 'meant': 'mean;mean;meaning;said;implied;used;supposed;like;read;wanted;intended;had', 'say': 'mean;u;state;saying;hear;know;write;people;read;realize;assume;someone;think', 'thing': 'creature;painting;craft;commodity;piece;machine;thing;creation;thing;good;something;specie;drink;project', 'art': 'made;beauty;done;something;artist;work;sacred;art;born', 'accepted': 'accept;took;treated;embraced;considered;recognised;ate;admitted;saw;absorbed;bought'}"
I tried to keep myself calm.,"Then, with a sigh, he said, “I have need of a certain stone that I once possessed.",“I have need of a certain stone that I once possessed.,"{'Then': 'after;afterwards;again;and;formerly;later;next;so;suddenly;thereupon;well', 'sigh': 'breath;cry;gasp;gentle breath;groan;noise;roar;suspiration;whine', 'said': 'ask;gentle gasp;narrate;phonate;relate;reply;request;speak;state;tell;utter;voice', 'need': 'a desire;commitment;desire;longing;obligation;requirement;urgency;use;want;weakness', 'certain': 'assured;decide;definite;distinct;particular;set;special;specific;unique', 'stone': 'artifact;boulder;crag;crystal;gem;grain;pebble;rock', 'once': 'at one time;before;formerly;have;in the past;on one occasion;previously;sometime;use to', 'possessed': 'acquire;attain;carry;have;own;seize'}","{'Then': 'Finally;Later;Next;Now;And;But;So;Meanwhile;When;Than;Until', 'sigh': 'frown;grin;speech;silence;pause;int;shrug;bow;look', 'said': 'continued;wrote;replied;snapped;spoke;told;added;sighed;muttered;declared;answered;admitted', 'need': 'hold;use;possession;require;must;charge;command;rid;lack;requirement', 'certain': 'particular;specific;certain;rare;definite;sure;recent;Certain;suitable', 'stone': 'stones;rock;stone;marble;piece;key;Stone;step', 'once': 'formerly;Twice;briefly;originally;never;Never;Once;previously;merely', 'possessed': 'possess;possesses;wielded;attained;possession;owned'}","{'Then': 'finally;later;next;now;and;but;so;meanwhile;when;than;until', 'sigh': 'frown;grin;speech;silence;pause;int;shrug;bow;look', 'said': 'continued;wrote;replied;snapped;spoke;told;added;sighed;muttered;declared;answered;admitted', 'need': 'hold;use;possession;require;must;charge;command;rid;lack;requirement', 'certain': 'particular;specific;certain;rare;definite;sure;recent;certain;suitable', 'stone': 'stone;rock;stone;marble;piece;key;stone;step', 'once': 'formerly;twice;briefly;originally;never;never;once;previously;merely', 'possessed': 'posse;posse;wielded;attained;possession;owned'}"
I tried to slip along the edge of the crowd.,"Things with scales and claws kept flailing against me, pressing me into the wall, but I took a breath and kept moving.",My nose filled with a reek of thick sweat.,"{'Things': 'being;creature;entity;monster;object', 'scales': 'armour;fish part;horn;layer;ridge;roughness;scaly skin;snake skin', 'claws': 'fang;fingernail;hand;nail;talon', 'kept': 'continue;go on;maintain;persist;remain;stay', 'flailing': 'beat;come;crash;fall;press;push;slash;thrash;touch', 'pressing': 'crush;lean;push;shove;slam;squeeze', 'wall': 'barrier;building;panel;partition;side;structure', 'took': 'catch;gasp;get;grab;inhale', 'breath': 'air intake;gasp;grasp;inhalation;inhale;respiration;some air', 'moving': 'continue;go;go forward;on;proceed;walk'}","{'Things': 'things;If;Creatures;Objects;Pieces', 'scales': 'claws;hands;sticks;gloves;paws;hooks;swords;fingers', 'claws': 'stones;hands;pieces;feet;fingers', 'kept': 'continued;keep;came;tried;started;keeps', 'flailing': 'fl;cl;sn;f;fr;sw;sm;wr;l', 'pressing': 'pushing;pressed;pushed;forcing;dragged;knocked', 'wall': 'wall;corners;shadows;corner;walls;crowd', 'took': 'take;taken;got;ook;gave', 'breath': 'Drink;breathe;step;puff;sip;moment;cough', 'moving': 'running;going;walking;rolling;talking;singing'}","{'Things': 'thing;if;creature;object;piece', 'scales': 'claw;hand;stick;glove;paw;hook;sword;finger', 'claws': 'stone;hand;piece;foot;finger', 'kept': 'continued;keep;came;tried;started;keep', 'flailing': 'fl;cl;sn;f;fr;sw;sm;wr;l', 'pressing': 'pushing;pressed;pushed;forcing;dragged;knocked', 'wall': 'wall;corner;shadow;corner;wall;crowd', 'took': 'take;taken;got;ook;gave', 'breath': 'drink;breathe;step;puff;sip;moment;cough', 'moving': 'running;going;walking;rolling;talking;singing'}"
I turned around.,"The man looked over forty, and he was driving a car I’d be afraid to drive on this street.","“It’s a long way to anywhere worth going,","{'man': '( he );chap;driver;dude;fellow;gentleman;guy;individual;person', 'looked': 'appear;appear to be;seem;seem to be', 'forty': '@card@;age;forty five;mid life;middle age;thirty', 'driving': 'brandish;expose;in;motor;operate;parade;ride in;sport;steer', 'car': 'set of wheel;vehicle', 'afraid': 'frighten;hesitant;horrify;nervous;scare;terrify;worry', 'drive': 'bring;have;mobilize;motor;operate;put;run;steer', 'street': 'alley;avenue;lane;neighborhood;path;road;roadway;route;stretch'}","{'man': 'guy;gentleman;voice;driver;chap;car;cop;eyes;men', 'looked': 'look;seemed;looking;turned', 'forty': 'thirty;fifty;sixty;twenty;eighty;eighteen', 'driving': 'like;in;renting;buying;fixing;seeing;expecting;behind;getting', 'car': 'boat;vehicle', 'afraid': 'foolish;able;proud;ashamed;willing;reluctant;glad', 'drive': 'driven;drove;see;driving;ding;driver;wreck;take', 'street': 'road;one;block;place;route;spot;corner;shit;island'}","{'man': 'guy;gentleman;voice;driver;chap;car;cop;eye;men', 'looked': 'look;seemed;looking;turned', 'forty': 'thirty;fifty;sixty;twenty;eighty;eighteen', 'driving': 'like;in;renting;buying;fixing;seeing;expecting;behind;getting', 'car': 'boat;vehicle', 'afraid': 'foolish;able;proud;ashamed;willing;reluctant;glad', 'drive': 'driven;drove;see;driving;ding;driver;wreck;take', 'street': 'road;one;block;place;route;spot;corner;shit;island'}"
I turned back to the door.,"“Come on, Amy, I said, “he’ll be along soon.","“Come on, Amy, I said, “he’ll be along soon.","{'Come': 'follow;hurry;let go', 'said': 'call out;comment;instruct;plead;reply;speak;state', 'soon': 'anon;in no time;momentarily;presently;promptly;quickly;shortly'}","{'Come': 'come;Follow;Hang', 'said': 'snapped;mean;say;signed;nodded;thought;whispered', 'soon': '!;shortly;early;quick;later;,;young'}","{'Come': 'come;follow;hang', 'said': 'snapped;mean;say;signed;nodded;thought;whispered', 'soon': '!;shortly;early;quick;later;,;young'}"
"I turned to keep going, but he caught my arm again.","“Don’t do this, kid!","“Don’t do this, kid!",{'kid': 'boy;buddy;guy;kiddo;man;pal;young comrade;young friend'},{'kid': 'boy;�;dude;pal;buddy;Frank;shit;son'},{'kid': 'boy;�;dude;pal;buddy;frank;shit;son'}
I turned to touch the cube that was Tashas crypt.,"She smiled in trust or pleasure or pride, an erotic Mona Lisa who would smile forever, and I could never know why.","The controls of the capturador were more complex than those of a kitchen model, but I recognized the unstop tab.","{'smiled': 'ease;give;grin;look;relax', 'trust': 'belief;certainty;confidence;conviction;expectation;faith;hope;innocence;peace;trust', 'pleasure': 'contentment;delight;easiness;ecstasy;happiness;hope;joy;relief;satisfaction', 'pride': 'accomplishment;arrogence;ego;egotism;honor;joy;pridefulness;proudness;repute;respect;satisfaction;smugness;vainglory;vanity', 'erotic': 'alluring;amorous;exotic;nubile;nymph like;orgasmic;pleasurable;racy;sensual;sexual;sexy', 'smile': 'emote;gaze;grin', 'forever': 'always;endlessly;enduringly;eternally;evermore;for all time;for eternity;immortally', 'never': 'not;not ever;not once', 'know': 'ascertain;comprehend;conceive;discern;figure;learn;perceive;realize;reason;see;understand'}","{'smiled': 'smile;looked;danced;could;lived', 'trust': 'fear;wonder;surprise;awe;pain;lust;joy;delight;love;disbelief', 'pleasure': 'satisfaction;sheer;fear;frustration;surprise;without;even;maybe;either', 'pride': 'lust;rage;envy;nostalgia;triumph;surprise;pain;delight;hate;loss;love;curiosity;fear;pleasure', 'erotic': 'aging;elusive;enigmatic;exotic;impossible;iconic;exquisite;elegant;ancient;old;enchanted', 'smile': 'grin;stare;look', 'forever': 'anywhere;ever;anytime;w;always;back;perpetually;endlessly', 'never': 'forever;hardly;soon', 'know': 'tell;see;ask;say;learn;understand;wonder;explain;knew;guess;knowing'}","{'smiled': 'smile;looked;danced;could;lived', 'trust': 'fear;wonder;surprise;awe;pain;lust;joy;delight;love;disbelief', 'pleasure': 'satisfaction;sheer;fear;frustration;surprise;without;even;maybe;either', 'pride': 'lust;rage;envy;nostalgia;triumph;surprise;pain;delight;hate;loss;love;curiosity;fear;pleasure', 'erotic': 'aging;elusive;enigmatic;exotic;impossible;iconic;exquisite;elegant;ancient;old;enchanted', 'smile': 'grin;stare;look', 'forever': 'anywhere;ever;anytime;w;always;back;perpetually;endlessly', 'never': 'forever;hardly;soon', 'know': 'tell;see;ask;say;learn;understand;wonder;explain;knew;guess;knowing'}"
I understand from Janine that you or Patti can provide me with the detail that I need.,"If necessary, I can come pick it up.",I have sent Patti a list.,"{'necessary': 'attainable;essential;imperative;need;need be;possible;reasonable;require', 'come': 'appear;arrive;attain;become;go;happen', 'pick': 'collect;fetch;gather;snatch;take'}","{'necessary': 'needed;required;necessary;anything;possible;need;tar;anyone', 'come': 'com;happily;also;u;stay;easily', 'pick': 'Pick;set;picking;pick;picked'}","{'necessary': 'needed;required;necessary;anything;possible;need;tar;anyone', 'come': 'com;happily;also;u;stay;easily', 'pick': 'pick;set;picking;pick;picked'}"
I understand.,The police wouldn’t file a report for someone who’d been missing overnight.,I closed the phone.,"{'police': 'authority;cop;force;investigator;law;officer', 'wouldn': 'could;did not;refuse to', 'file': 'accept;create;document;give;make;process;register;submit;take;write', 'report': 'broadcast;claim;complaint;dispatch;document;form;paper;record;request;statement', 'someone': 'a person;an individual;anyone;one;person;somebody;victim', 'missing': 'absent;away;disappear;go;lose;unavailable', 'overnight': '@card@ hour;a few hour;for the night;less than a day;one night'}","{'police': 'cops;.;authorities;force;cop;policeman', 'wouldn': 'Won;Can;din', 'file': 'filed;say;write;lodge;filing;files;file;call;make;wrote', 'report': 'case;warrant;ticket;petition;complaint;post;present;file;paper;reports', 'someone': 'somebody;anyone;something;people;anybody;person;everyone', 'missing': 'robbed;missing;seen;gone;disappeared;lost', 'overnight': '.;..;forever;since;long'}","{'police': 'cop;.;authority;force;cop;policeman', 'wouldn': 'won;can;din', 'file': 'filed;say;write;lodge;filing;file;file;call;make;wrote', 'report': 'case;warrant;ticket;petition;complaint;post;present;file;paper;report', 'someone': 'somebody;anyone;something;people;anybody;person;everyone', 'missing': 'robbed;missing;seen;gone;disappeared;lost', 'overnight': '.;..;forever;since;long'}"
I undid the strings and let the pouch sit on my palm so that I could see the stone inside.,"It looked like a normal river stone, a gray oval with a white stripe through it.","As long as I looked at it, it didn’t reveal any magic sparkle or glow.","{'looked': 'appear;resemble;seem', 'normal': 'average;common;conventional;natural;ordinary;plain;regular;standard;typical', 'river': 'creek;river bed;riverbed;sand;stream;water;waterway', 'stone': 'mineral;pebble;rock', 'gray': 'ash color;ashy;charcoal;cinereous;clouded;dark;drab;granite;grayish;grey;lead;shadow;slate', 'oval': 'ball;circular;egg shape;ellipse;oblong;ovoid;round;shape;sphere', 'white': 'bleach;chalky;cream;ivory;light;milky;pale;pearly;snowy;white colored', 'stripe': 'band;bar;border;decoration;division;line;strip;vein'}","{'looked': 'seemed;look;looks', 'normal': 'regular;typical;real;standard;black;ordinary;natural;red;familiar', 'river': 'stone;ordinary;magic;quartz;looking;black;magical', 'stone': 'stone;gem;thing', 'gray': 'grey;white;blue;purple;green;stone;brown;red;gray;black;golden;pale;solid', 'oval': 'sphere;stone;orb;ball;rectangle;rock;disc;one;square', 'white': 'grey;blue;red;gray;green;yellow;silver;golden;purple;sharp', 'stripe': 'streak;slash;line;patch;glow;strip;trail;arrow'}","{'looked': 'seemed;look;look', 'normal': 'regular;typical;real;standard;black;ordinary;natural;red;familiar', 'river': 'stone;ordinary;magic;quartz;looking;black;magical', 'stone': 'stone;gem;thing', 'gray': 'grey;white;blue;purple;green;stone;brown;red;gray;black;golden;pale;solid', 'oval': 'sphere;stone;orb;ball;rectangle;rock;disc;one;square', 'white': 'grey;blue;red;gray;green;yellow;silver;golden;purple;sharp', 'stripe': 'streak;slash;line;patch;glow;strip;trail;arrow'}"
"I waited in the dark, carpeted hall.",A warm breeze came from silent vents above me.,"I heard no voices until Malaquez said, Enter.","{'warm': 'balmy;embrace;fall;heated;hot;humid;spring;summer;temperate;tepid;warming', 'breeze': 'air;bustle;draft;draught;gust;mist;wind', 'came': 'alight;approach;blow;circulate;drift;emanate;emerge;enter;escape;flow;reach;rush;stir;waft', 'silent': 'deaf;deafen;gentle;idle;muted;noiseless;quiet;sound proof;soundless;still;whisper', 'vents': 'duct;grate;opening;slat;tunnel'}","{'warm': 'cold;hot;chilly;brisk;soft;sweet;fresh;warming;mild;cozy;warmth', 'breeze': 'wind;sound;air;voice;gust;scent;smell', 'came': 'broke;blew;whispered;roared;burst;rose;drifted;sounded;said;sang;emerged;floated;p;heard', 'silent': 'cold;silence;chilly;quiet;chilling;air;steam;deep;three;cool;silenced', 'vents': 'chamber;pipes;spaces;room;voices'}","{'warm': 'cold;hot;chilly;brisk;soft;sweet;fresh;warming;mild;cozy;warmth', 'breeze': 'wind;sound;air;voice;gust;scent;smell', 'came': 'broke;blew;whispered;roared;burst;rose;drifted;sounded;said;sang;emerged;floated;p;heard', 'silent': 'cold;silence;chilly;quiet;chilling;air;steam;deep;three;cool;silenced', 'vents': 'chamber;pipe;space;room;voice'}"
"I waited, and drank a glass of MorningAfter and three cups of coffee, and wondered whether our affair could survive the events of the night, and whether I wanted it to.","Perhaps I should have invited Emil to stay, but even then I knew that sex was not the problem between Tasha and me.","The problem was that I have trouble distinguishing between compromise and capitulation, between symbols and substance.","{'Perhaps': 'conceivably;imaginably;maybe;possibly;supposedly', 'invited': 'allow;ask;encourage;request', 'stay': 'break;linger;remain;sit;sojourn;spend the night;stop;stopover;visit;wait', 'even': 'also;by;only;still', 'then': 'at that time;currently;furthermost;in that case;previously;so;still;though', 'knew': 'be aware;believe;comprehend;discern;figure;known;perceive;think;understand', 'sex': 'coitus;copulation;fornication;intercourse;intimacy;love;nookie;relation;sexuality', 'problem': 'conflict;deal;difficulty;dilemma;issue;matter;predicament;situation;thing;trouble'}","{'Perhaps': 'Thus;Maybe;Probably;maybe;Whether', 'invited': 'asked;invite;told;allowed', 'stay': 'come;join;dinner;bed;play;wait;visit;sleep;return;meet', 'even': 'Even;back;still;already', 'then': 'Then;still;half;though;later;yet;earlier;better', 'knew': 'know;understood;felt;saw;realized;known;thought;decided;learned', 'sex': 'intercourse;love;prostitution;pleasure;substance;passion;sexuality;romance;compromise', 'problem': 'issue;question;trouble;point;difficulty;matter;topic;difference;dilemma;deal'}","{'Perhaps': 'thus;maybe;probably;maybe;whether', 'invited': 'asked;invite;told;allowed', 'stay': 'come;join;dinner;bed;play;wait;visit;sleep;return;meet', 'even': 'even;back;still;already', 'then': 'then;still;half;though;later;yet;earlier;better', 'knew': 'know;understood;felt;saw;realized;known;thought;decided;learned', 'sex': 'intercourse;love;prostitution;pleasure;substance;passion;sexuality;romance;compromise', 'problem': 'issue;question;trouble;point;difficulty;matter;topic;difference;dilemma;deal'}"
I walked across what had been the dance floor.,"The church was completely different now: sunlight fell through the stained glass, catching dust that still hung in the air and sending a dry, healthy warmth into the edges of the room, through the stone and the powdery concrete that had been covered last night by flesh and flashing lights.","I realized that Rachel had disappeared without leaving a clue and I had no way to do anything but wait for her to show up – which, if she were in a situation where I should be doing something, would probably be never.","{'church': 'cathedral;chapel;inside;room;sanctuary;tabernacle', 'completely': 'certainly;entirely;fully;much;obviously;remarkably;totally;very', 'different': 'alter;change;distinct;diverse;new;opposite;strange;unfamiliar', 'now': 'at present;at this moment;currently;late;presently;today', 'sunlight': 'light;ray;sun beam;sunbeam;sunray;sunshine', 'fell': 'beam;blare;drop;flood;go;leap;move;pass;reach;shine;strike', 'stained': 'art;color;ornate;painted;storied;traditional', 'glass': 'artwork;pane;panel;window', 'catching': 'burn;grab;illuminate;light;pull;retrieve;reveal', 'dust': 'coating;dirt;haze;lint;mote;particle', 'still': 'continually;flicker;float;lazily;now;presently;remain;yet', 'hung': 'drift;float;hover;linger;loom;remain;stay;suspend;swing', 'air': 'atmosphere;room;sky;space', 'sending': 'bring;deliver;emit;give;leave;move;provide;push', 'dry': 'arid;certain;cracked;crisp;humid;musty;pleasant;still;unhumid', 'healthy': 'comfortable;cozy;earthy;fresh;needed;nice;nutrient;restore;wholesome', 'warmth': 'coziness;heat;temperature;warming', 'edges': 'corner;crease;distance;nook;section', 'room': 'apse;area;hall;nave;place;space;unit', 'stone': 'block;brick;concrete;granite;mortar;river rock;rock;tile;wall', 'powdery': 'chalky;crumbly;drab;dusty;grey;loose;sandy;talc like', 'concrete': 'block;cement;confine;floor;ground;mortar;panel;pavement;wall', 'covered': 'awash;coat;color;conceal;hide;litter;paint;swathe;wash', 'last': 'at;previous;prior;the previous', 'night': 'eve;evening;time', 'flesh': 'body;crowd;dancer;figure;human;mortal;partier;people;raver;skin', 'flashing': 'beaming;blare;blinding;blink;dazzling;flicker;glitter;shimmer;shine', 'lights': 'beacon;beam;bulb;flare;glow;illumination;lamp;lighting;limelight;ray'}","{'church': 'room;place;space;atmosphere;hall;scene', 'completely': 'much;totally;completely;complete;entirely;absolutely;quite;vastly', 'different': 'differently;new;empty;transformed;broken;right;changed;ruined', 'now': 'afterward;new;Now;today;though;suddenly', 'sunlight': 'sun;rain;sunshine;daylight;rays;darkness', 'fell': 'shone;shining;streamed;rose;passed;dropped;sprinkled;filtered;cast;falling;falls', 'stained': 'broken;shattered;cracked;darkened;stain;colored', 'glass': 'windows;window;Glass;curtains', 'catching': 'caught;capturing;catches;catching;catch;trapping;collecting', 'dust': 'frost;dust;shadows;rust;moisture;breath', 'still': 'still;always;perpetually;hung;would;water;somehow;yet', 'hung': 'hangs;hanging;hang;lay;stood;sat;fell;ling;hung', 'air': 'atmosphere;breeze;wind;windows', 'sending': 'casting;cast;breathed;throwing;sent;like;leaving;tossing', 'dry': 'cold;warm;damp;dark;chill;thick;cool;bright;soft', 'healthy': 'warm;cold;comforting;soft;welcoming;lingering;chilly;cool;fuzzy', 'warmth': 'feeling;scent;light;glow', 'edges': 'corners;gloom;confines;air;edge', 'room': 'rooms;hall;cavern;chamber;floor;place;room', 'stone': 'furniture;stones;glass;smoke;plaster;concrete;marble;walls;curtains', 'powdery': 'powder;frost;mold;mist;glitter;grain;smoke;ding', 'concrete': 'cement;stone;pavement;floor;walls;wood;carpet;dust;metal', 'covered': 'covering;shrouded;illuminated;coated;cover;ruined;surrounded;shattered;broken', 'last': 'every;yesterday;en;last', 'night': 'year;winter;time', 'flesh': 'candles;torches;shadows;dust;mirrors;posters;banners;smoke;mist;lamps', 'flashing': 'flickering;neon;fluorescent;flash;blinking;dim;candle;passing;bright', 'lights': 'candles;bulbs;headlights;lighting;lamps;neon;stars;torches;flames;beams'}","{'church': 'room;place;space;atmosphere;hall;scene', 'completely': 'much;totally;completely;complete;entirely;absolutely;quite;vastly', 'different': 'differently;new;empty;transformed;broken;right;changed;ruined', 'now': 'afterward;new;now;today;though;suddenly', 'sunlight': 'sun;rain;sunshine;daylight;ray;darkness', 'fell': 'shone;shining;streamed;rose;passed;dropped;sprinkled;filtered;cast;falling;fall', 'stained': 'broken;shattered;cracked;darkened;stain;colored', 'glass': 'window;window;glass;curtain', 'catching': 'caught;capturing;catch;catching;catch;trapping;collecting', 'dust': 'frost;dust;shadow;rust;moisture;breath', 'still': 'still;always;perpetually;hung;would;water;somehow;yet', 'hung': 'hang;hanging;hang;lay;stood;sat;fell;ling;hung', 'air': 'atmosphere;breeze;wind;window', 'sending': 'casting;cast;breathed;throwing;sent;like;leaving;tossing', 'dry': 'cold;warm;damp;dark;chill;thick;cool;bright;soft', 'healthy': 'warm;cold;comforting;soft;welcoming;lingering;chilly;cool;fuzzy', 'warmth': 'feeling;scent;light;glow', 'edges': 'corner;gloom;confines;air;edge', 'room': 'room;hall;cavern;chamber;floor;place;room', 'stone': 'furniture;stone;glass;smoke;plaster;concrete;marble;wall;curtain', 'powdery': 'powder;frost;mold;mist;glitter;grain;smoke;ding', 'concrete': 'cement;stone;pavement;floor;wall;wood;carpet;dust;metal', 'covered': 'covering;shrouded;illuminated;coated;cover;ruined;surrounded;shattered;broken', 'last': 'every;yesterday;en;last', 'night': 'year;winter;time', 'flesh': 'candle;torch;shadow;dust;mirror;poster;banner;smoke;mist;lamp', 'flashing': 'flickering;neon;fluorescent;flash;blinking;dim;candle;passing;bright', 'lights': 'candle;bulb;headlight;lighting;lamp;neon;star;torch;flame;beam'}"
I walked around the car and got into the passenger seat.,"Before I had my belt on, we were rolling forward.","“Okay, I said.","{'belt': 'accessory;belt;buckle;constraint;fastener;restrain;safety;safety belt;seat buckle;seatbelt;strap', 'rolling': 'drive;go;head;motor;move;speed;travel', 'forward': 'ahead;along;frontward;on;onward;straight'}","{'belt': 'belts;lights;head;pants;seat;hold;eyes;jacket;clothes;bra;music', 'rolling': 'rolled;moving;going;looking;roll;sitting;falling', 'forward': 'forwards;seats;together;along;across;ahead'}","{'belt': 'belt;light;head;pant;seat;hold;eye;jacket;clothes;bra;music', 'rolling': 'rolled;moving;going;looking;roll;sitting;falling', 'forward': 'forward;seat;together;along;across;ahead'}"
"I walked from this hotel to the old city, past the end of the slidewalks and softwalks to the hard, cracked pavement of City Park.",But Undersiders left me alone.,Perhaps they recognized a fellow ghost.,"{'left': 'allow;let;permit;renounce', 'alone': 'be;by myself;companionless;exclude;isolate;lonesome;peacefully;sideline;unaccompanied;undisturbed;unharmed;untroubled'}","{'left': 'leave;found;left;Left', 'alone': 'untouched;behind;altogether;intact;unchecked;away;gone;silent;without;Still;free;Never'}","{'left': 'leave;found;left;left', 'alone': 'untouched;behind;altogether;intact;unchecked;away;gone;silent;without;still;free;never'}"
I want to do more traditional portraits.,"He spoke quickly, prepared to be rejected.",Would you permit me to do one of you?,"{'spoke': 'articulate;communicate;continue;converse;mention;murmur;mutter;orate;talk;utter;verbalize;vocalize', 'quickly': 'briskly;fast;rapidly;speedily;suddenly;swiftly', 'prepared': 'anticipate;brace;expect;gear;plan;ready', 'rejected': 'burn;decline;deny;disdain;dismiss;interrupt;object;refuse;stop;turn down'}","{'spoke': 'speak;speaks;said;says;asked;w;wrote;responded;replied;asks;seems;talks', 'quickly': 'fast;quick;politely;calmly;highly;swiftly', 'prepared': 'ready;possibly;sorry;willing;I;happy', 'rejected': 'refused;denied;accepted;dismissed;received;heard;ignored;corrected;interrupted;rejection'}","{'spoke': 'speak;speaks;said;say;asked;w;wrote;responded;replied;asks;seems;talk', 'quickly': 'fast;quick;politely;calmly;highly;swiftly', 'prepared': 'ready;possibly;sorry;willing;i;happy', 'rejected': 'refused;denied;accepted;dismissed;received;heard;ignored;corrected;interrupted;rejection'}"
"I want to pick up with Tasha and me walking about The Sleeping Flamingo, and then, for the sake of literary convenience, to say that from a corner of the yard I saw a neighboring house, and the sight filled me with darkest forebodings.","But the truth is that Tasha pointed it out from the one place where it could barely be seen, and I only felt envy that it had been designed by someone with understated good taste.",Who lives there?,"{'truth': 'accuracy;certainty;exactness;fact;honesty;reality', 'pointed': 'acknowledge;direct;figure;note;show', 'place': 'area;locale;location;position;property;site;spot;station;venue', 'barely': 'almost;faintly;hardly;just;just about;merely;only;only just;scarcely;seldom', 'seen': 'behold;detect;glimpse;note;notice;observe;perceive;regard;sight;spot;view;watch;witness', 'only': 'alone;barely;exclusively;just;merely;purely;simply;single;solely', 'felt': 'consider;experience;have;judge;know;sense;think', 'envy': 'anger;covet;desire;greed;jealousy;rage;spite', 'designed': 'achieve;arrange;build;construct;create;draw;fashion;invent;make;organize;prepare;scheme;tailor', 'someone': 'a person;an individual;anyone;be;human;individual;man;one;person;somebody', 'understated': 'classy;conservative;modest;muffle;refined;repressed;restrained;simple;sophisticated;subdued;subtle;tastefully;tone down;underrate;ungaudy;unvulgar', 'good': 'decent;discerning;excellent;fine;great;immaculate;noble;righteous;sterling;suitable;superb;superior;wonderful;worthy', 'taste': 'choice;decision;desire;disposition;eye;gusto;sophistication;style;zest'}","{'truth': 'reality;fact;,;story;point;news', 'pointed': 'picked;points;pointing;point;spotted', 'place': 'spot;side;location;point;instance;angle;area;places;place', 'barely': 'hardly;practically;scarcely;already;faintly;easily;even;actually;almost;plainly', 'seen': 'visible;spotted;saw;seen;imagined;found;viewed;missed;noticed;reached;marked;hidden;felt', 'only': 'merely;also;hardly;never;still;almost;actually;even;immediately', 'felt': 'feel;feeling;feels;could;tasted;would;felt', 'envy': 'hope;sure;wonder;sense;awe;thought;curiosity', 'designed': 'decorated;design;made;done;described;erected;renovated;redesigned;completed;seen;built;furnished;created', 'someone': 'someone;somebody;architects;Someone;others;something;men;another;designers;builders', 'understated': 'Under;un;under;unf;und;afore;mis;unst;per;unsub;ab;unp;unob;aff;uns;conf', 'good': 'real;craft;g;artistic;aesthetic;right;pro;architectural;designer;development;crafts;professional;human;personal', 'taste': 'aste;tastes;manners;intentions;flair;ness;judgment;luck;itude'}","{'truth': 'reality;fact;,;story;point;news', 'pointed': 'picked;point;pointing;point;spotted', 'place': 'spot;side;location;point;instance;angle;area;place;place', 'barely': 'hardly;practically;scarcely;already;faintly;easily;even;actually;almost;plainly', 'seen': 'visible;spotted;saw;seen;imagined;found;viewed;missed;noticed;reached;marked;hidden;felt', 'only': 'merely;also;hardly;never;still;almost;actually;even;immediately', 'felt': 'feel;feeling;feel;could;tasted;would;felt', 'envy': 'hope;sure;wonder;sense;awe;thought;curiosity', 'designed': 'decorated;design;made;done;described;erected;renovated;redesigned;completed;seen;built;furnished;created', 'someone': 'someone;somebody;architect;someone;others;something;men;another;designer;builder', 'understated': 'under;un;under;unf;und;afore;mi;unst;per;unsub;ab;unp;unob;aff;un;conf', 'good': 'real;craft;g;artistic;aesthetic;right;pro;architectural;designer;development;craft;professional;human;personal', 'taste': 'aste;taste;manner;intention;flair;ness;judgment;luck;itude'}"
