target_sentence,postcontext,substitutions,replace,replace_proc
"But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldnt be stolen, perhaps by jealous airmen who resented the 509th.",Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening.,"{'movies': 'cinema;film;flick;picture;show;theater', 'remove': 'take;take away;take off', 'distributor': 'automotive;combustion;distribution;engine;ignition system;release', 'cap': 'cover;lid;protector;seal;top', 'vehicle': 'automobile;car;jeep;truck', 'stolen': 'grab;rob;swipe;take;take away;theft;thieve', 'perhaps': 'may be;maybe;mayhaps;perchance;possibly;probably', 'jealous': 'angry;covetous;envious;resentful', 'airmen': 'air force;aviator;flight crew;flyer;pilot;soldier;troop', 'resented': 'be sour toward;begrudge;despise;dislike;feel bitter at;feel bitter toward;hate'}","{'movies': 'films;trailers;theaters;pictures;stops;cinema', 'remove': 'lift;detach;removal', 'distributor': 'bottle;remote;steering;case;hub;wheel', 'cap': 'hat;cage;lid;tape;lock', 'vehicle': 'vessel;automobile;car;SUV', 'stolen': 'theft;taken;hijacked;robbed;thief;kidnapped;towed', 'perhaps': 'possibly;certainly;reportedly;surely;maybe;seemingly', 'jealous': 'greedy;angry;proud;jealousy', 'airmen': 'Americans;pilots;officers;astronauts;enthusiasts;marines;commanders', 'resented': 'despised;disliked;hated;revered;rejected;ented;regretted'}","{'movies': 'film;trailer;theater;picture;stop;cinema', 'remove': 'lift;detach;removal', 'distributor': 'bottle;remote;steering;case;hub;wheel', 'cap': 'hat;cage;lid;tape;lock', 'vehicle': 'vessel;automobile;car;suv', 'stolen': 'theft;taken;hijacked;robbed;thief;kidnapped;towed', 'perhaps': 'possibly;certainly;reportedly;surely;maybe;seemingly', 'jealous': 'greedy;angry;proud;jealousy', 'airmen': 'american;pilot;officer;astronaut;enthusiast;marine;commander', 'resented': 'despised;disliked;hated;revered;rejected;ented;regretted'}"
"Karnes had his own Jeep, and went to the beach and to evening movies shown by other units as often as he could.","But at the movies, he had to remove the distributor cap on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous airmen who resented the 509th.","{'own': 'personal;private', 'went': 'drive;head;move;travel;would go', 'beach': 'coast;dock;oceanfront;sand;shore', 'evening': 'late;night;nightly;nighttime', 'movies': 'film;flick;show;theater', 'shown': 'display;exhibit;offer;organize;play;present', 'other': 'different;various', 'units': 'company;crew;group;outfit;team', 'as': 'so;very', 'often': 'frequently;much;regularly'}","{'own': 'personal;original', 'went': 'came;traveled;got;headed;drove', 'beach': 'shore;coast;ocean;surf;bay', 'evening': 'see;night;watch;midnight', 'movies': 'films;pictures;games;videos', 'shown': 'screened;played;displayed;seen;watched;presented', 'other': 'others;fellow', 'units': 'troops;forces;vehicles;squads;divisions', 'as': 'every;quite', 'often': 'frequently;much;many'}","{'own': 'personal;original', 'went': 'came;traveled;got;headed;drove', 'beach': 'shore;coast;ocean;surf;bay', 'evening': 'see;night;watch;midnight', 'movies': 'film;picture;game;video', 'shown': 'screened;played;displayed;seen;watched;presented', 'other': 'others;fellow', 'units': 'troop;force;vehicle;squad;division', 'as': 'every;quite', 'often': 'frequently;much;many'}"
He never even told his story to students in his 40 years of teaching college.,"War is hell, he says, and when it was over, he wanted to come home and rejoin his young family and not dwell on it.","{'never': ""by no mean;do n't;not;not at any time;not ever;not once"", 'even': 'actually;ever;once;yet', 'told': 'confess;declare;describe;disclose;divulge;express;inform;mention;narrate;recount;relate;report;reveal;state', 'story': 'account;adventure;chronicle;history;life story;narrative;past;personal history;saga;tale', 'students': 'apprentice;charge;class;learner;protege;pupil;scholar;undergraduate', 'years': 'annual period;annum;season;term', 'teaching': 'educate at;faculty of;instruct;instruct at;instruction at;lecture;lecture at;serve as teacher', 'college': 'academic;class;college course;college level;high education;in high education;institution;scholastic;school;undergraduate school;university'}","{'never': 'rarely;finally;barely;sometimes;eventually;ither', 'even': 'ever;quite;exactly;actually', 'told': 'taught;gave;showed;shared;said;talked;spoke;related;sold;heard;described;explained;knew;read', 'story': 'tale;version;life;name;history;account;case;part;ordeal;experience', 'students': 'customers;patients;players;children;classes;consumers;citizens;readers', 'years': 'decades;days;hours;rings', 'teaching': 'teacher;coaching;serving;telling;educating;working;playing;giving', 'college': 'school;collegiate;campus;undergrad;university;life;education;undergraduate;war;student;class'}","{'never': 'rarely;finally;barely;sometimes;eventually;ither', 'even': 'ever;quite;exactly;actually', 'told': 'taught;gave;showed;shared;said;talked;spoke;related;sold;heard;described;explained;knew;read', 'story': 'tale;version;life;name;history;account;case;part;ordeal;experience', 'students': 'customer;patient;player;child;class;consumer;citizen;reader', 'years': 'decade;day;hour;ring', 'teaching': 'teacher;coaching;serving;telling;educating;working;playing;giving', 'college': 'school;collegiate;campus;undergrad;university;life;education;undergraduate;war;student;class'}"
Phone calls were monitored.,An undercover force of Manhattan Project security agents infiltrated the base and bars in the little town of Wendover (population 103) to spy on airmen.,"{'calls': 'communication;conversation;discussion;exchange', 'monitored': 'infiltrate;listen to;review;sensor;under surveillance;watch'}","{'calls': 'conversations;numbers;phones;books', 'monitored': 'supervised;watched;tracked;recorded;intercepted;observed'}","{'calls': 'conversation;number;phone;book', 'monitored': 'supervised;watched;tracked;recorded;intercepted;observed'}"
"I had a friend, the finance officer.","""I had a friend, the finance officer.","{'friend': 'acquaintance;associate;buddy;chum;companion;comrade;pal', 'finance': 'accounting;currency;monetary;money', 'officer': 'associate;authority;controller;guy;leader;official;sergeant'}","{'friend': 'pal;buddy;friendship;man;girlfriend;friendly;classmate', 'finance': 'financial;marketing;budget;tax', 'officer': 'office;executive;director;chief;manager;secretary;adviser'}","{'friend': 'pal;buddy;friendship;man;girlfriend;friendly;classmate', 'finance': 'financial;marketing;budget;tax', 'officer': 'office;executive;director;chief;manager;secretary;adviser'}"
Karnes was the personnel and classification officer.,"He was only a captain, but he had been left in charge at Wendover the day Tibbets surprised them by landing a B-29, a new plane no one at Wendover had seen.","{'personnel': 'HR;human resource;military personnel;staff', 'classification': 'categorization;classify;designation;organization;ranking;relegation;security;systematic arrangement', 'officer': 'authority;commander;director;leader;man;military officer;official;representative'}","{'personnel': 'manpower;staff;person;people', 'classification': 'registration;certification;class;classify;classified;rating;labeling;category', 'officer': 'office;official;analyst;manager;investigator;adviser;director;editor'}","{'personnel': 'manpower;staff;person;people', 'classification': 'registration;certification;class;classify;classified;rating;labeling;category', 'officer': 'office;official;analyst;manager;investigator;adviser;director;editor'}"
He was tracking down men to join a group so secret he couldnt admit it existed.,On his metal desk were names of military men being ordered into the organization.,"{'tracking': 'chase;hunt;search for;trace;trail', 'down': 'for;to find', 'men': 'enlist man;enlistee;fellow;guy;individual;officer;people;personnel;soldier;troop;warrior', 'join': 'accompany;annex;be a part of;be part of;become member of;come aboard;enter;form;partake;participate in;plug into;supplement;unite with', 'group': 'assembly;company;crew;organization;outfit;team;troop;unit', 'so': 'so much;so very;such;that be extremely;too', 'secret': 'clandestine;conceal;confidential;covert;exclusive;furtive;hide;hush hush;mysterious;private;seclude;undercover', 'admit': 'acknowledge;concede;confess;confide;divulge;even say;let on;own;proclaim;reveal;say', 'existed': 'actually be;be;be in existence;be real;emerge;evolve;live'}","{'tracking': 'hunting;chasing;dragging;tracing;counting', 'down': 'back;tag', 'men': 'people;man;businessmen;guys;males;individuals;members;others;girls;soldiers;citizens', 'join': 'enter;start;find;try;build;form;lead;marry;leave;follow;create;buy;make', 'group': 'band;gang;club;squad;team;cult;force;company', 'so': 'secretly;sim;whose;thus;still', 'secret': 'secretive;hidden;secretly;covert;clandestine;private;big;mysterious;small;special;exclusive;sneaky', 'admit': 'acknowledge;know;say;confess;realize;announce;reveal;agree;concede;realise;claim', 'existed': 'lived;mattered;stood;belonged;happened;faced;created'}","{'tracking': 'hunting;chasing;dragging;tracing;counting', 'down': 'back;tag', 'men': 'people;man;businessmen;guy;male;individual;member;others;girl;soldier;citizen', 'join': 'enter;start;find;try;build;form;lead;marry;leave;follow;create;buy;make', 'group': 'band;gang;club;squad;team;cult;force;company', 'so': 'secretly;sim;whose;thus;still', 'secret': 'secretive;hidden;secretly;covert;clandestine;private;big;mysterious;small;special;exclusive;sneaky', 'admit': 'acknowledge;know;say;confess;realize;announce;reveal;agree;concede;realise;claim', 'existed': 'lived;mattered;stood;belonged;happened;faced;created'}"
They were a wartime match that changed the world.,"Japan surrendered within days of the detonation of the atomic bombs that killed 140,000 people in Hiroshima on Aug. 6, 1945, and 70,000 in Nagasaki three days later.","{'wartime': 'battle;battle era;combat;military;war;war era;war period', 'match': 'combination;couple;duo;fight;mix;operation;pair;partnership;team;union', 'changed': 'alter;make over;reinvent;remake;revolutionize;shape;transform;turn around', 'world': 'civilization;country;earth;globe;nation;planet;universe;worldwide'}","{'wartime': 'WWII;battlefield;WW;boxing;military;postwar;war', 'match': 'matchup;team;rematch;meeting;pair;mismatch;game;duel;clash;fight', 'changed': 'turned;altered;broke;influenced;made;transformed;destroyed;ended', 'world': 'globe;global;planet;universe;international;future;whole;worldwide'}","{'wartime': 'wwii;battlefield;ww;boxing;military;postwar;war', 'match': 'matchup;team;rematch;meeting;pair;mismatch;game;duel;clash;fight', 'changed': 'turned;altered;broke;influenced;made;transformed;destroyed;ended', 'world': 'globe;global;planet;universe;international;future;whole;worldwide'}"
"Tibbets picked the names, and Karnes made it happen.",Tibbets hated paperwork.,"{'picked': 'authorize;choose;commission;decide;designate;elect;select', 'names': 'airman;identity;individual;man;name person;people;person;personnel;soldier;troop', 'made': 'cause;fuel;prompt', 'happen': 'come into be;come to pass;materialize;occur;possible;proceed;take place;transpire'}","{'picked': 'selected;chose;named;pulled;drafted;stuck;got', 'names': 'picks;titles;lists;plays;identities;games;players;kids;labels;heads', 'made': 'let;forced;got', 'happen': 'work;go;count;possible;suit;close;seem;disappear'}","{'picked': 'selected;chose;named;pulled;drafted;stuck;got', 'names': 'pick;title;list;play;identity;game;player;kid;label;head', 'made': 'let;forced;got', 'happen': 'work;go;count;possible;suit;close;seem;disappear'}"
"Karnes arrived on Tinian on May 18, 1945, as part of an advance team that flew in the five C-54 transport planes of the 509th.","On May 29, 1,200 men arrived on the troopship Cape Victory after a five-week trip from Seattle.","{'arrived': 'come;land;make it', 'part': 'a member;addition;member;one', 'advance': 'ahead;early;elite;exclusive;forward;front;initial;lead;preliminary;preparation', 'team': 'battalion;crew;group;member;mission;party;squad;unit', 'flew': 'arrive;bring;pilot;travel;travel by air', 'transport': 'cargo;carrier;conveyance;move;passenger', 'planes': 'aircraft;airplane'}","{'arrived': 'landed;arrival;appeared', 'part': 'one;member;apart;head', 'advance': 'attack;advancement;invasion;ambush;early;express;assault;escort;expedition;escape', 'team': 'group;squad;mission;party;crew;force;committee;staff', 'flew': 'operated;drove;came;carried;travelled', 'transport': 'transportation;transfer;transit;transporter;support', 'planes': 'airplanes;aircraft'}","{'arrived': 'landed;arrival;appeared', 'part': 'one;member;apart;head', 'advance': 'attack;advancement;invasion;ambush;early;express;assault;escort;expedition;escape', 'team': 'group;squad;mission;party;crew;force;committee;staff', 'flew': 'operated;drove;came;carried;travelled', 'transport': 'transportation;transfer;transit;transporter;support', 'planes': 'airplane;aircraft'}"
"He was only a captain, but he had been left in charge at Wendover the day Tibbets surprised them by landing a B-29, a new plane no one at Wendover had seen.",Tibbets had just been ordered to organize a combat force to drop a bomb being developed by a secret enterprise known as the Manhattan Project.,"{'only': 'barely;just;merely;simply', 'captain': ""captain 's rank;leader;military captain;officer"", 'left': 'assign;consign;draft;place;position;put;remain', 'charge': 'authority;command;control;responsibility;rule', 'day': 'calendar date;date;time', 'surprised': 'alarm;amaze;astonish;astound;catch them unaware;shock;startle;stun', 'landing': 'alight;bring;bring in;fly;ground;pilot;set down;touch down', 'new': 'advanced;brand new;cut edge;different;innovative;just develop;modern;newly make;novel;original;recent;revolutionary;unfamiliar', 'plane': 'aeroplane;aircraft;airplane;craft;jet', 'seen': 'be aware of;come across;eye;hear of;know;saw;spy;view;witness'}","{'only': 'even;exactly;merely;also', 'captain': 'pilot;colonel;Capt;lieutenant', 'left': 'placed;put;kept;remained;found;abandoned;set', 'charge': 'control;rank;leadership;power;command', 'day': 'morning;moment;way', 'surprised': 'shocked;stunned;amazed;impressed;astonished;defied;startled;puzzled', 'landing': 'flying;loading;launching;crashing;arriving;finding;parking;buying', 'new': 'fresh;different;strange;small;green;news;young;big;first;redesigned;huge;novel;replacement', 'plane': 'airplane;aircraft;jet;craft;bomber', 'seen': 'saw;heard;flown;noticed;known;witnessed;felt;imagined;viewed'}","{'only': 'even;exactly;merely;also', 'captain': 'pilot;colonel;capt;lieutenant', 'left': 'placed;put;kept;remained;found;abandoned;set', 'charge': 'control;rank;leadership;power;command', 'day': 'morning;moment;way', 'surprised': 'shocked;stunned;amazed;impressed;astonished;defied;startled;puzzled', 'landing': 'flying;loading;launching;crashing;arriving;finding;parking;buying', 'new': 'fresh;different;strange;small;green;news;young;big;first;redesigned;huge;novel;replacement', 'plane': 'airplane;aircraft;jet;craft;bomber', 'seen': 'saw;heard;flown;noticed;known;witnessed;felt;imagined;viewed'}"
"Karnes was Tibbets adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications.","Tibbets picked the names, and Karnes made it happen.","{'adjutant': 'accessory;aide;assistant;helper;lieutenant;second', 'man': 'fellow;gentleman;guy;individual;officer;person;soldier', 'charge': 'authority;command;control;head', 'writing': 'authore;compose;create;do;formulate;give;inscribe;issue;make;pen;scribe;sign', 'orders': 'authorization;charge;command;decree;direction;directive;instruction;regulation;requisition', 'cajoling': 'coax;connive;draw in;entice;goad;influence;inveigle;maneuver;manipulate;negotiate;persuade;urge;wheedle', 'transfer': 'assignment;entrance;join;move;movement;release;relocation;repost;restation;transferral', 'unit': 'battalion;crew;group;outfit;regiment;squadron;team;troop', 'servicemen': 'army man;combatant;fighter;officer;personnel;soldier;troop', 'proficient': 'accomplish;adept;apt;efficient;experience;good;knowledgeable;qualify;skilled;talented;train;well verse', 'bombing': 'attack;blasting;bombard;drop explosive;explosive;missile;shooting;torpedo', 'mechanics': 'device;engine;equipment;machine;machine repair;machinery;machinist;machinist work;mechanical work;technical expertise', 'ordnance': 'arm;armament;artillery;military supply;munition ,;munitions;weapon;weaponry', 'engineering': 'apply science;building;civil engineering;construction;design;engineer work;science;technology', 'communications': 'communicate;exchange;information;interconnection;message;network;telecommunication'}","{'adjutant': 'lieutenant;aide;deputy;adviser;assistant;clerk', 'man': 'men;person;one;fellow;manager;male;individual', 'charge': 'command;control;possession;power', 'writing': 'handwriting;drafting;composing;sounding;designing;calling;signing;paying;keeping;sending;cooking;cutting', 'orders': 'instructions;commands;rules;directions;plans;accounts;directives;reports;calls', 'cajoling': 'pressuring;coordinating;counselling;soothing;facilitating;bullying;arranging;forcing;coaching;commanding;urging;motivating;negotiating', 'transfer': 'transition;switch;change;release;transmission;conversion;dispatch;return;transport;translation', 'unit': 'group;squad;regiment;team;squadron;battery;battalion;outfit', 'servicemen': 'emen;personnel;soldiers;sailors;physicians;troops;individuals', 'proficient': 'skilled;trained;specializing;specialized;certified;adept;expert;fluent;outstanding;knowledgeable;capable;competent', 'bombing': 'bomber;bombardment;artillery;flying;blasting;aircraft;explosives;striking', 'mechanics': 'mechanical;navigation;physics;mathematics;math;logistics;tactics;weapons;robotics;radios', 'ordnance': 'artillery;munitions;ammunition;nance;explosives;navigation;firearms;ord', 'engineering': 'technology;reconnaissance;electronics;art;design;planning;explosives;electrical', 'communications': 'telecommunications;signals;communicating;navigation;signaling;messages;telecom'}","{'adjutant': 'lieutenant;aide;deputy;adviser;assistant;clerk', 'man': 'men;person;one;fellow;manager;male;individual', 'charge': 'command;control;possession;power', 'writing': 'handwriting;drafting;composing;sounding;designing;calling;signing;paying;keeping;sending;cooking;cutting', 'orders': 'instruction;command;rule;direction;plan;account;directive;report;call', 'cajoling': 'pressuring;coordinating;counselling;soothing;facilitating;bullying;arranging;forcing;coaching;commanding;urging;motivating;negotiating', 'transfer': 'transition;switch;change;release;transmission;conversion;dispatch;return;transport;translation', 'unit': 'group;squad;regiment;team;squadron;battery;battalion;outfit', 'servicemen': 'emen;personnel;soldier;sailor;physician;troop;individual', 'proficient': 'skilled;trained;specializing;specialized;certified;adept;expert;fluent;outstanding;knowledgeable;capable;competent', 'bombing': 'bomber;bombardment;artillery;flying;blasting;aircraft;explosive;striking', 'mechanics': 'mechanical;navigation;physic;mathematics;math;logistics;tactic;weapon;robotics;radio', 'ordnance': 'artillery;munition;ammunition;nance;explosive;navigation;firearm;ord', 'engineering': 'technology;reconnaissance;electronics;art;design;planning;explosive;electrical', 'communications': 'telecommunication;signal;communicating;navigation;signaling;message;telecom'}"
He knew the war would soon be over and he would be heading home.,A yearof secrecy and hard work wasover.,"{'knew': 'be aware;be certain;believe;comprehend;discern;feel sure;predict;realize;recognize;understand', 'war': 'battle;bloodshed;combat;conflict;fight;fighting;hostility', 'soon': 'before long;closely;momentarily;presently;promptly;quickly;rapidly;shortly', 'over': 'conclude;do;end;finish;settle;through', 'heading': 'depart to;fly;go;head;journey;move;on his way;return;travel', 'home': 'back;back home;homeward;stateside;to his house'}","{'knew': 'felt;thought;hoped;told;said;saw;seemed;meant;new;understood', 'war': 'battle;fight;conflict;campaign;country;service;world', 'soon': 'quickly;eventually;almost;shortly;finally;slowly;suddenly;gradually', 'over': 'ended;ending;end;finished;done;stopped', 'heading': 'going;returning;walking;moving;coming;driving;traveling;running;rushing', 'home': 'back;toward'}","{'knew': 'felt;thought;hoped;told;said;saw;seemed;meant;new;understood', 'war': 'battle;fight;conflict;campaign;country;service;world', 'soon': 'quickly;eventually;almost;shortly;finally;slowly;suddenly;gradually', 'over': 'ended;ending;end;finished;done;stopped', 'heading': 'going;returning;walking;moving;coming;driving;traveling;running;rushing', 'home': 'back;toward'}"
"I have completed the invoices for April, May and June and we owe Pasadena each month for a total of $3,615,910.62.",I am waiting to hear back from Patti on May and June to make sure they are okay with her.,"{'completed': 'accomplish;conclude;do;end;finish;process;submit;terminate', 'invoices': 'bill;charge;notice;number;paper;statement', 'owe': 'be indebted to;be to pay;indebted;under obligation', 'total': 'aggregate;allotment;amount;balance;bill;cost;figure;final;number;price;sum;worth'}","{'completed': 'finished;finalized;concluded;closed;submitted;performed;undertaken;received', 'invoices': 'receipts;expenditures;bills;estimates;statements;expenses', 'owe': 'pay;due;repay;paid', 'total': 'maximum;value;tally;minimum;combined;result;sum;aggregate;final;deficit;number;payment'}","{'completed': 'finished;finalized;concluded;closed;submitted;performed;undertaken;received', 'invoices': 'receipt;expenditure;bill;estimate;statement;expense', 'owe': 'pay;due;repay;paid', 'total': 'maximum;value;tally;minimum;combined;result;sum;aggregate;final;deficit;number;payment'}"
The earnings growth also was fueled by the companys ability to cut net financing spending by half to around 15 million guilders.,"Also, substantially lower Dutch corporate tax rates helped the company keep its tax outlay flat relative to earnings growth, the company added.","{'earnings': 'asset;capital;dividend;income;profit;revenue;share;yield', 'growth': 'increase;rise;spurt', 'also': 'additionally;concurrently;even;too', 'fueled': 'charge;drive;energize;fan;feed;nourish;power;prompt;spark;stimulate', 'company': 'business;concern;corporation;firm', 'ability': 'aptitude;capability;capacity;competence;skill;talent', 'cut': 'decrease;lower;slash;slice;stop', 'net': 'after deduction;clear;gross;profit;remain;take home;total', 'financing': 'account;credit;funding;loan;monetary', 'spending': 'account;cost;disbursement;expenditure;expense;outlay', 'half': '@card@ %;allotment;fifty percent;portion', 'guilders': 'Euro;coin;dollar ( Netherlands );dutch dollar;unit'}","{'earnings': 'EPS;profits;sales;income;estimates;profit;payments;annual', 'growth': 'grow;growing;expansion', 'also': 'especially;ability;even;including', 'fueled': 'propelled;boosted;bolstered;driven;spurred;powered;aided;supported;spearheaded;led', 'company': '', 'ability': 'able;capacity;expertise;capability;facility;authority', 'cut': 'reduce;slash;trim;drop;lower', 'net': 'network;target;web;main;total;non;brand', 'financing': 'debt;lending;capital;borrowing;credit', 'spending': 'expenditure;costing;running;cost;consuming;investing', 'half': 'quarter;two;twice;part', 'guilders': 'guild;smugglers;thugs;banners;inspectors'}","{'earnings': 'eps;profit;sale;income;estimate;profit;payment;annual', 'growth': 'grow;growing;expansion', 'also': 'especially;ability;even;including', 'fueled': 'propelled;boosted;bolstered;driven;spurred;powered;aided;supported;spearheaded;led', 'company': '', 'ability': 'able;capacity;expertise;capability;facility;authority', 'cut': 'reduce;slash;trim;drop;lower', 'net': 'network;target;web;main;total;non;brand', 'financing': 'debt;lending;capital;borrowing;credit', 'spending': 'expenditure;costing;running;cost;consuming;investing', 'half': 'quarter;two;twice;part', 'guilders': 'guild;smuggler;thug;banner;inspector'}"
"Theres only one city: called Nuevo Acapulco in La Enciclopedia del Empirio de la Humanidad, its Napulco to the locals.",The N'apulcans are mostly emigrants from Polaris II; the only difference between them and their Carribbean ancestors is that the ancestors fleeced NorAm tourists.,"{'only': 'barely;exclusively;just;merely;simply;single;solely', 'city': 'area;capital;conurbation;locale;locality;metropolis;municipality;region;town', 'called': 'deem;denominate;identify;know as;label;name;style;tag;term;title', 'locals': 'citizen;inhabitant;native;resident'}","{'only': 'exactly;also;even;always;another;merely;solely', 'city': 'town;country;place;community;municipality;region;village;nation;culture', 'called': 'named;nicknamed;known;dubbed;titled;renamed;played;alled;branded;closed', 'locals': 'residents;villagers;natives;tourists'}","{'only': 'exactly;also;even;always;another;merely;solely', 'city': 'town;country;place;community;municipality;region;village;nation;culture', 'called': 'named;nicknamed;known;dubbed;titled;renamed;played;alled;branded;closed', 'locals': 'resident;villager;native;tourist'}"
Youve been chosen to succeed the Emperor.,"""What?""","{'chosen': 'appoint;designate;elect;favor;give;grant;hand pick;name;pick;select;vote', 'succeed': 'be;displace;follow;inherit the position;replace;serve as successor;stead;supersede;supplant;take over from;unseat'}","{'chosen': 'selected;picked;taken;announced;appointed;designated;decided;nominated;declared;named;determined', 'succeed': 'replace;follow;surpass;become;assist;join;successor;save;relieve;serve;continue'}","{'chosen': 'selected;picked;taken;announced;appointed;designated;decided;nominated;declared;named;determined', 'succeed': 'replace;follow;surpass;become;assist;join;successor;save;relieve;serve;continue'}"
Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,"President Bush has agreed to meet within 90 days with Mr. Barco, President Alan Garcia of Peru and President Jaime Paz Zamora of Bolivia to discuss the drug problem.","{'refused': 'bar;decline;defy;deny;disallow;forgo;reject;resist;turn down', 'troops': 'armed force;army;combatant;company;infantry;legion;military;outfit;personnel;serviceman;soldier', 'advisers': 'aid;authority;coach;committee;confidant;consultant;counsel;counselor;helper;informer', 'accepted': 'acquire;agree to;aquire;consent;gain;get;grant;obtain;secure;take;welcome', 'military': 'army;government', 'aid': 'assistance;assistant;help;relief;subsidy;support'}","{'refused': 'declined;rejected;denied;resisted;opposed;defied;condemned;failed;avoided', 'troops': 'soldiers;personnel;forces;military;warriors;funds;men;units;legions;troopers;fighters', 'advisers': 'advisors;aides;advice;arms;advising;consultants;instructors;advise;planners;officers', 'accepted': 'taken;received;embraced;acknowledged;admitted;welcomed;acceptance;adopted;absorbed;included;appreciated', 'military': 'financial;army', 'aid': 'assistance;help;support;assist;aide;advice'}","{'refused': 'declined;rejected;denied;resisted;opposed;defied;condemned;failed;avoided', 'troops': 'soldier;personnel;force;military;warrior;fund;men;unit;legion;trooper;fighter', 'advisers': 'advisor;aide;advice;arm;advising;consultant;instructor;advise;planner;officer', 'accepted': 'taken;received;embraced;acknowledged;admitted;welcomed;acceptance;adopted;absorbed;included;appreciated', 'military': 'financial;army', 'aid': 'assistance;help;support;assist;aide;advice'}"
to recover the species.,"""I don't wish to be a spokesman for any campaign,"" Ripert said.","{'recover': 'heal;rebuild;recoup;replenish;reseed;restore;revitalize;revive', 'species': 'animal;breed;creature;fish;kind;kingdom;particular fish;population;specimen;swordfish'}","{'recover': 'recovery;retrieve;restore;reclaim;save;return;collect;regain', 'species': 'series;plants;specimens;creatures;animals;cies;specimen;birds;biodiversity;types'}","{'recover': 'recovery;retrieve;restore;reclaim;save;return;collect;regain', 'species': 'series;plant;specimen;creature;animal;cies;specimen;bird;biodiversity;type'}"
Thirty-five thin fingers waved lazily like seaweed.,I noticed when my back hit the wall that I was walking backwards.,"{'thin': 'bony;lean;puny;skinny;slender;slim;svelte', 'fingers': 'appendage;digit;tip', 'waved': 'brandish;curl;dangle;flow;flutter;motion;move;wag;wobble', 'lazily': 'easily;flow;flutter;idly;leisurely;nonchalantly;sloppily;slowly', 'seaweed': 'algae;kelp;leave;plant;rockweed;sea plant'}","{'thin': 'slender;skinny;slim;simple;long;single;small', 'fingers': 'fingertips;hands;digits', 'waved': 'drifted;swung;swayed;unfolded;sailed;folded;blinked;traveled;trailed', 'lazily': 'curiously;casually;loosely;brilliantly;mysteriously;strangely;slowly;subtly', 'seaweed': 'seaw;algae;water;tentacles;salt;wine'}","{'thin': 'slender;skinny;slim;simple;long;single;small', 'fingers': 'fingertip;hand;digit', 'waved': 'drifted;swung;swayed;unfolded;sailed;folded;blinked;traveled;trailed', 'lazily': 'curiously;casually;loosely;brilliantly;mysteriously;strangely;slowly;subtly', 'seaweed': 'seaw;algae;water;tentacle;salt;wine'}"
