sentence,target,gold,ls_dropout
"Attorney General s Page The Connecticut Attorney General s website includes a discussion of current health topics , including HMOs , Medicare , current Connecticut health legislation , and insurance issues as well as information on your rights when it comes to making health care decisions .",well,in;along;and;with,well;far;wells;long;wel;much;per;yet;though;n
We needed to plan well in advanced to give schools enough warning but not too much choice on times and dates as this seemed to make decisions harder !,well,sufficient;in;long;much,well;ahead;carefully;long;days;things;far;something;beforehand;everything
And be ready to move elsewhere if you are not being treated well .,well,properly;satisfactorily;nice,properly;fairly;nicely;respectfully;lightly;fair;reasonably;well;carefully;appropriately
"Treatment of physical problems , particularly chronic ones , is possible as well as psychological therapy .",well,in;along;including,much;far;classified;long;known;normal;well;good;OK;simple
"Fades the light ; And afar Goeth day , And the stars Shineth bright , Fare thee well ; Day has gone , Night is on .",well,good;in;bon;goodbye;excellently;successfully;healthily;safely,fair;thee;better;well;wells;wise;sound;still;day;wel
"Half the phones , half the computers , half the consumer electronic products we buy are not as well made or designed as the other half .",well,carefully;efficiently;excellently;nice,properly;wel;nicely;beautifully;finely;wells;much;specially;wonderfully;cheaply
"Well , perhaps not .",Well,indeed;then,",;:;.;A;Not;By;After;In;For;At"
"Cupertino-based Apple is known for aggressively protecting its intellectual property , as well as its image .",well,in;along;and;including,far;wells;well;long;known;much;wel;opposed;also;yet
"Well , one of Alf s intentions when he first conceived the Newsletter was that it should serve as a continuous record of the activities of the Society , and as we all know , the contents of a web page can change or disappear as fast as a bottle of wine at Hogmanay !",Well,so,A;For;Now;At;:;But;Indeed;Since;As;On
"Well now we have.  Plain English Campaign is nt stopping there , though .",Well,so,"But;For;and;,;Well;And;By;The;:;So"
"Modern hunting methods have been introduced , undermining the traditional hunting practices of the local people who have for generations sought to protect and preserve wild life .",wild,animal;untamed,animal;forest;wildlife;endangered;bird;game;human;native;species;marine
"It is presumed that this is because the level of infection of IHHN virus in the wild population is relatively low , and when these wild stocks are held in captivity , the virus quickly spreads from infected broodstock to non-infected broodstock .",wild,undomesticated;untamed;non-domestic;feral;animal;outside,wild;stock;breeding;native;Wild;ine;feral;game;market;adult
"Freya , orphaned as a baby and now something of a wild spirit , shares her secrets with Danny in their private place on the nearby rocky crags .",wild,free;chaotic;unrestrained,free;wild;kindred;Wild;feral;Viking;haunted;roaming;crazy;haunting
"These wounds may be from a variety of sources : fish hooks , barbed wire , lawnmowers , traps , tree branches , cats , dogs , bullets , or , even other wild animals .",wild,undomesticated;non-captive;untamed,feral;native;animal;unwanted;forest;natural;large;game;cute;stuffed
In the Genealogy Section a wild story about someone s Great Great Grandfather !,wild,crazy;unbelievable;amazing;incredible;dramatic,great;raw;Wild;strange;wild;ous;legendary;weird;bizarre;funny
Now it is the GW doomsayers that ignore similar geological evidence that show wild and mini climatic swings throughout the earth’s history .,wild,unpredictable;chaotic;extreme;unrestrained;irregular;huge,stark;Vol;drastic;rapid;dramatic;sudden;sharp;cultural;clear;bizarre
"Lovely venue ( well as long as you go in for the wild wallpaper ) , fantastic sound system , great staff , nice cocktails and a great time had by all .",wild,crazy;unrestrained;extreme;coloured;patterned;striking;garish,main;first;night;party;festival;best;show;n;good;musical
"You ll accuse me of being off track , and rightly so , but should nt we first ask what solution our dear Islam has provided for satisfying your wild God-given instincts , beside suppressing them for years until you get the chance to get married ?",wild,chaotic;reckless;crazy;undisciplined;unrestrained;natural,crazy;true;old;weird;natural;filthy;sexy;first;sweet;hungry
The riverine habitat is extremely beautiful and the chances of seeing large wild animals are high .,wild,untamed;undomesticated;non-captive,red;stuffed;animal;forest;numbers;large;white;predatory;mammal;fisher
"An endangered species is one that could become extinct in the wild in 10 to 20 years , if nothing is done to protect it .",wild,uninhabited;out;wilderness;uncultivated;its,It;I;In
" ; What happened to the big , new garbage can at Church and Chambers Streets ?",can,bin;disposal;container,cans;bin;system;er;box;container;bags;dump;collector;truck
"After the coin has been sleeved , there is no hesitation as the can apparently covers the coin in the LH .",can,receptacle;tin,coin;may;cant;spell;mag;cannot;could;priest;magician;artist
"Instead of cleverly tricking Prosser into lying down in the mud , Ford simply distracts the workmen with a shopping trolley full of cans of lager which he just happens to have with him .",cans,tin,bottles;pitchers;cases;barrels;shots;plenty;gallons;glasses;bottle;grains
"No hazardous materials such as paint , noxious chemicals , solvents , oil , petrol cans , gas bottles , tyres , asbestos , vehicle batteries , medical or biological waste .",cans,container;cannister,ons;powder;ates;ations;caps;ution;paint;ers;ene;ators
"Sources of standing water include old tires , metal cans , ceramic pots , clogged drain covers , wading pools , pool covers , bird baths , and rain barrels. ; Visit the CDC West Nile website at http://www.cdc.gov/ncidod/dvbid/westnile / .",cans,container;tin,pots;pipes;containers;pans;sinks;drums;taps;boxes;jars;chairs
Q : Do you take steel cans at the curbside ?,cans,container;bin,containers;pipe;pens;bottles;barrels;container;coins;pipes;mix;bars
Aluminum  Steel Cans - Rinse aluminum and steel cans .,cans,container;tin,aluminum;tin;products;foil;can;bottles;jars;pipes;melts;pellets
"Packed the soil itself into huge trash cans and in the 14 truckloads , two a day , carried soil to new house .",cans,bin;container,.;I
"Facilities are available for the recycling of paper , glass , cans , textiles , shoes , plastic bottles , cardboard , and oil .",cans,tin,I;.;In;By;For
"Jan replies ... Hi Linda , One cat owner reported ,  We are now back on maintenance dose of 3/4 tablespoon of essiac mixed with one tablespoon of tuna juice ( the spring water from a can of tuna ) .",can,tin,cans;jar;bottle;Can;box;cup;container;case;may;pint
"So we all went out to dinner , and I found myself sitting between light and dark , which is where we all are , is nt it , and I kept feeling more attracted to the dark .",dark,gloom;shadow;night;shade;darkness;lack,darkness;shade;shadow;Dark;light;/;dim;.;dark;darker
I think that the work I do is done in the dark .,dark,night;ignorance;oblivion;uninformed,dark;darkness;night;shadows;dead;e;darkest;woods;black;well
" One was so in the dark as to what they wanted ,  complained Edwin Lutyens , the greatest British architect of the day ,  the site so lovely , the conditions so difficult .",dark,ininformed;unsure;unclear;oblivious;uncertain;ignorant;unaware;unilluminated,know;darkness;minority;blind;woods;past;Eye;moon;game;right
I think overtly making out in public can be kept somewhere in the dark .,dark,shadow;away;secret;shade;darkness,mind;shadows;least;darkness;rear;future;closet;house;area;state
"Conversely , the most successful CEO s seem to have a knack for finding their way in the dark .",dark,obscure;night;somewhere;darkness,"darkness;,;darkest;dark;world;maze;Sun;darkened;shadows;darker"
"So to be  able to read the handwriting on the wall  has ever since been a metaphor for being able to see what s coming , especially when those around you remain in the dark .",dark,ignorant;unaware;unilluminated;oblivious;uninformed,darkness;shadows;black;fog;know;loop;eye;buff;gloom;rain
"Go out to get some chow , and they had all slipped away in the dark of the night .",dark,gloom;black;shadow;dimness,middle;darkness;dead;rest;midst;black;depths;way;end;hours
"Part of it is her unique view of the world , whether walking around the room telling people they are her friends , or riding around in the car after dark telling me she wants to “touch the purple night. ; Part of it is that she has Down syndrome .",dark,at;nightfall;dusk;sunset,darkness;midnight;drinking;dinner;black;night;work;dark;sunset;finishing
"Another remarkable subject is  Reality ( play loud )  , the artist embarks in a alucinogeno trip soul simply to demonstrate its vocal capacities , africanismo and the dark to us in a threatening atmosphere .",dark,sombre;mystery;shadow;night;darkness,darkness;world;music;occult;woods;black;unknown;sounds;ism;mystic
The cells were resuspended in 0.1 % saponin wash and mixed in the dark for 1 h. The cells were pelleted and the supernatant was discarded .,dark,absence;darkness,wild;sink;dish;media;morning;bin;barrel;buff;wash;dark
"However , the examination will be detailed if the applicant expressly requests it ( for example , at the same time as filing the Demand ) , or if the applicant files amendments and/or arguments ( for example , in response to the International Search Report , with the Demand or in response to a Written Opinion ; see below ) .",examination,investigation;scrutiny;inspection,examinations;exam;Trial;request;report;demand;result;application;motion;document
From the previous examination last week the auto-immune deficiency could also be excluded .,examination,investigation;inspection;consultation;assesment,examinations;exam;post;one;report;conference;session;column;mention;edition
Readers will appreciate this well-researched examination .,examination,investigation;scrutiny;enquiry;analysis,paper;work;dissertation;study;review;analysis;research;exam;presentation;thesis
"As well , he will continue his examination of the transatlantic connections that fuelled the slave trade .",examination,investigation;scrutiny;study;inspection;analysis,exploration;study;probe;studies;investigation;scholarship;assessment;review;work;analysis
The US ranks 37th in a World Health Organization examination of the world s health care systems .,examination,scrutiny;study;investigation;inspection,assessment;analysis;review;evaluation;survey;study;rankings;ranking;report;overview
"40 Among studies that found differences in procedure use in sex-discordant pairings , these differences have been seen largely in sex-specific services such as mammography screening , 25 , 35 , 39 prostate examination , 39 and pelvic examination or Papanicolaou smear testing , 25 , 35 , 39 selected procedures that may have produced differences in use rates because of their sex-specific nature .",examination,inspection;investigation;assessment;analysis,"exam;.;,"
"The photograph on the surface does not show a conflict or an irony , but with close examination , the punctum —the element which stands out and punctures the stadium —becomes apparent .",examination,inspection;scrutiny;analysis,scrutiny;Eye;inspection;observation;analysis;examine;examining;exam;study;attention
"EXAMINATION QUESTIONS , 1961-1965 Examination Questions , ca 1961-1965 , 30 cm ( c.1 , c.21 ) Examination question papers for various courses arranged alphabetically by subject and session .",EXAMINATION,test;exam;assessment,ex;EX;Ex;Ass;C;N;cont;Acc;CR;F
Examination leave also includes the mornings of days in which examinations are held in the afternoon as well as the time spent travelling to and from the examination centre .,examination,test;exam;assessment,medical;conference;exam;surgical;imperial;health;examinations;hospital;academic;educational
"I was given cardiovascular tests , including treadmill stress tests and ultrasound examinations of my heart , but apparently , things werenÂt bad enough that I was singled out for consultation .",examinations,investigation;test;inspection,examination;scans;exams;recordings;imaging;tests;readings;scan;exam;measurements
"I feared only her car , and she was like a ghost , an apparition haunting the car , only a part of it , not a person .",feared,dread;be;be;be;be;be,saw;beloved;remembered;frightened;trusted;fear;knew;left;loved;terrified
" she asked , already fearing a negative answer but impressed by the merit of his constructive reply .",fearing,expect;anticipate;suspect;afraid,bearing;gives;anticipating;offering;suffering;knowing;giving;fears;wanting;fear
He fears that she will die while he is gone .,fears,worry;dread;be;be,worries;fear;trusts;feared;aments;ans;hopes;worried;said;inks
"When Esther fears to enter the court unsummoned , a capital offense unless the king holds out the golden sceptre , Mordecai says  Think not with thyself that thou shalt escape in the king s house , more than all the Jews .",fears,be;dread;be;dread;scare,threatens;plans;vows;struggles;wishes;wants;desires;fails;tries;seeks
"Though the Act was well supported , it also aroused vehement opposition from those who feared it would promote the evils it was intended to remedy .",feared,worry;anticipate;suspect;be;be;be,felt;thought;afraid;wished;believed;worried;say;suspected;claimed;contended
"6th February , 2004 - View article ... Extra Home Threat to Green belt The new targets published last week could force St Albans into sacrificing more Green Belt land than was first feared .",feared,expect;anticipate;anxiously,hoped;needed;thought;possible;met;intended;done;planned;anticipated;imagined
"Muslim-Americans need to do this bit by bit , word by word , to show our fellow citizens that America has nothing to fear from Islam .",fear,be;dread;be;worry;afraid,gain;lose;hide;learn;face;protect;flee;fret;come;offer
"Many of those who founded the wargame publishing business feared that , with the anti-militarism caused by the Vietnam , and ( later ) with the adoption of the all-volunteer army , American society would become estranged from all things military , leaving ordinary citizens too ignorant to make meaningful democratic judgments where war is concerned .",feared,worry;be;suspect;be;be;be,anticipated;hoped;tted;presumed;viewed;dreaded;knew;fearing;bred;figured
"Genetic engineering and human cloning are not to be feared but cherished , as they will liberate humanity from nature .",feared,dread;scared;frightened;afraid,dangerous;afraid;trusted;endangered;scared;long;hurt;done;worried;helped
"Nothing , I fear , I haven’t said already .",fear,be;dread;believe;be;unfortunately,trust;sow;know;believe;promise;mean;think;wish;vy;ne
"Do nt forget about the revolutionary exercise program and the lifestyle modification program. ) You will also learn , on the topic of diet : How to eliminate those crazy , irresistible cravings forever .",forget,overlook;neglect;inadvertently,forgot;know;mention;learn;read;te;get;remember;Read;told
"But Mr. SchickeleÂs own music has not been forgotten ; his eagerly-awaited Concerto for Viola and Orchestra will receive its world premiere with The Pasadena Symphony and Danielle Farina , viola .",forgotten,cease;disregard;overlook;lose;ignore,neglected;abandoned;lost;wasted;overlooked;heard;stolen;forgot;silenced;far
Do nt forget to do the quick inventory and again tape it to the outside of the box .,forget,fail;omit;neglect,n;want;need;te;use;get;try;fail;How;Had
"Finally being super christian , I was reminded of the 2nd greatest commandment of all “You shall love your neighbour as yourself’ ; its easy to forget when you losing .",forget,overlook;let;cease,see;forgot;ignore;say;forgotten;remember;read;understand;get;know
"Sometimes you might be out of the office but want to know how your database is doing , sometimes you might be in vacation , sometimes you simply forgot to run the script ( weÂre humans ) ... How can you be notified with these details ?",forgot,overlook;fail;overlook;omit,forget;want;need;forgotten;forgetting;remembered;failed;needed;fail;neglected
One must not forget that the reason why the conflict has become difficult to handle over the years is because it has grown in complexity and become something of a family war .,forget,overlook;cease;remember;fail,forgot;overlook;forgotten;ignore;assume;forgetting;mention;deny;mistake;doubt
Since the last issue of Britannia we have at last seen a bit of barrack life and all rumours about the issue of the  Sennelager Star  are being forgotten .,forgotten,disregard;put;overlook;lose,dismissed;remembered;discredited;forgot;ignored;debunked;heard;gone;erased;denied
Someone from the event forwarded me this quote which I had forgotten .,forgotten,not;overlook,written;forgot;remembered;read;said;seen;posted;told;heard;received
Then to top it all off the docs forgot to enter the med rates so the oncall doc needed to be called which takes a long time .,forgot,omit;fail;fail,forget;failed;needed;wanted;forgotten;seemed;need;got;neglected;could
Does he forget that it was his ministry that issued the final set of licences some three months prior to the collapse of Principal Trust ?,forget,not;omit;fail;not,forgot;note;know;mention;realize;remembers;aware;remember;miss;also
"Galls indeed arise from the stinging of the plant tissues by the ovipositors of female gall wasps , and the egg laid in the plant tissues develops inside the gall into a grub , which eventually emerges full-grown and transformed into a mature gall wasp .",gall,pn;secretion,female;genital;male;gon;ho;gall;green;reproductive;ovarian;leaf
"These include laparoscopic gall bladder surgery and reflux disease surgery , non-cardiac thoracoscopic chest surgery , and certain cardiotomy procedures such as mitral valve repair .",gall,pn,bar;lap;stomach;renal;stem;bone;heart;palate;gal;kidney
" ( Adams , pp.196-9 ) What arrogance and gall it took to write those words and demand that they be spoken by Native tongues .",gall,audacity;impudence;nerve;effrontery;temerity;cheek,courage;wit;bravery;fer;folly;acy;pain;stupidity;guts;cruelty
"In the case of my gall bladder removal , I was out the next day .",gall,pn;bile-producing,wisdom;round;cess;first;gast;Had;bell;Pill;urinary;brain
Even galls that formed on their trunks were eaten .,galls,grub;pustule;abnormal,g;sc;sp;b;ch;ag;c;p;pup;ph
"Come to my woman s breasts , And take my milk for gall , you murdering ministers , Wherever in your sightless substances You wait on nature s mischief !",gall,bile;rancor;poison;bitter;cheek,free;thee;mercy;ye;profit;milk;tender;pleasure;bread;joy
"And the morans have the gall to ruin Beethovens 6th in the process , too .",gall,cheek;audacity;nerve;effrontery;temerity,leisure;power;wont;stomach;right;grace;vill;snap;nerve;opportunity
"Etym : From the Gaelic name Dubhghall , from dubh  black  + gall  stranger  .",gall,unknown,le;g;a;Gael;ogh;n;la;c;lord;Welsh
"Galls indeed arise from the stinging of the plant tissues by the ovipositors of female gall wasps , and the egg laid in the plant tissues develops inside the gall into a grub , which eventually emerges full-grown and transformed into a mature gall wasp .",Galls,abnormal;blister,G;g;Gl;Ch;Gall;H;M;leg;V;W
"In Boston Magazine s glowing blurb on Via Matta , it had the extraordinary gall to say this :  Via Matta has unquestionably found its niche with Boston s it crowd .",gall,cheek;audacity;nerve;effrontery;temerity,grace;right;occasion;misfortune;opportunity;sense;liberty;nerve;power;leisure
 What is the world to do in the face of these grim predictions ?,grim,bleak;severe;horrific;dire;doom;doomy;negative;horrible,dire;economic;new;dystopian;fearsome;dark;bleak;human;old;looming
"“He too can only watch in deepening despair as the grim work proceeds. ; Looks more like resignation to me , but AudioVision is not interested in letting us make up our own minds. “Finally , the military police carry the crates away for disposal. ; No , they just take them away .",grim,unrelenting;unpleasant;gruesome;terrible;horrific;horrible,hard;police;gruesome;dirty;grunt;military;bloody;sinister;nefarious;dreadful
"Id rather go face down , fast , in a plate of chili at 76 than suffer the grim attenuations of mental decay and wander off this mortal plane at 78 .",grim,morbid;dire;dismal;depressing;unpleasant;bleak;terrible,gruesome;slow;bleak;dire;hideous;permanent;endless;painful;wretched;pathetic
Vincent van Gogh in 1880 was a 27-year-old failure : a despised and rejected clergyman in a grim backwater mining town in Belgium .,grim,gloomy;harsh;horrid;depressing;bleak,small;large;desolate;remote;poor;British;old;mining;dusty;rural
Hoarding and saving react with grim vengeance .,grim,unrelenting;dire;ghastly;sinister;dark;horrific;horrible,extreme;severe;cold;pure;mild;malicious;dire;brute;thy;vicious
" Once that grim reality had sunk in , Kubrick s response was an extraordinary tribute to Sellers as an actor :  We ca nt replace him with another actor , we ve got to get an authentic character from life , someone whose acting career is secondary-a real-life cowboy .",grim,harsh;horrid;dismal;awful;depressing;unpleasant,sad;bleak;new;inevitable;dire;looming;certain;impending;little;final
"Their trip had been a grim struggle with wet pitches , friable rock and bad bolts : they had reached the 1979 limit , but failed to go further .",grim,unrelenting;harsh;severe;awful;harrowing;gloomy;difficult,mixed;constant;difficult;miserable;real;steady;tough;rough;long;frustrating
I m concerned that they re so grim and angry .,grim,forbidding;severe;harsh;stern;gloomy;serious,confused;sad;pale;bitter;upset;frustrated;smug;tense;shocked;dumb
 That s Lawrence Kaplan  s grim verdict from Baghdad .,grim,gloomy;dire;appalling;depressing;bleak;dark,damning;ips;sad;s;';Her;full;akes;ocked;iren
It started out looking pretty grim but we had pretty good rainfall in April and May .,grim,gloomy;dire;severe;dismal;unpromising,good;bad;awesome;messy;gloomy;cool;dark;dismal;pretty;dire
" Â  50 dollars  , I lie .",lie,fib;say;say,"see;believe;say;l;said;cons;mean;,;S;think"
"But in spite of this truth , just as you in the position of aspirants and disciples know much about the Hierarchy , its life , aims and conditioning rules , so do I , a Master of the fifth degree , know much concerning what lies ahead of me ; I can therefore endeavor to make some small part of these essential truths clearer to those who can profit by them .",lies,wait;remain;untruths;be;falsehoods,lay;lie;lays;awaits;await;sits;may;lur;looms;hangs
I lie down on my futon -bed with a tiny bean-filled pillow under my neck .,lie,stretch;rest;recline;get;recline,lay;sit;laid;lied;slid;fell;lies;fall;lying;sat
"For example , suppose that on the return trip from Deneb to Earth the astronauts lay down Tube II rather than traveling back in Tube I , the first tube they produced .",lay,put;extend;place;had,laid;put;sat;traveled;set;rode;loaded;travelled;dropped;went
"What lies beneath the amphoras and the muck -- perhaps the ship s wooden hull , tools , personal items and coins , which would help pinpoint the date of the sinking -- can only be learned by excavation .",lies,rest;remain;can;hide;be;be,lays;lie;remains;plays;hides;lay;whats;sits;lying;floats
"  You ca nt lie in front of the bulldozer indefinitely   I m game ...   Zaphod , you look good .",lie,recline;stay;recline;stretch,ne;ly;te;die;lay;ine;ie;sit;k;ik
"He went on farther , and in the great hall he saw the whole of the court lying asleep , and up by the throne lay the King and Queen .",lay,rest;be;recline;reclined,lie;laid;sat;stood;bore;rested;ye;upon;lied;sit
Grabbed the blaster lying on the seat next to her and fired up at him .,lying,resting;sit;that;place;position,laying;lay;sat;laid;sitting;lie;lying;lied;sleeping;sit
"Whether itÃ¢ÂÂs lying through omission , lying through misdirection , or outright lies , itÃ¢ÂÂs awfully hard to extract nuggets of truth from the noise .",lying,fib;fibbing;falsify;telling;telling;deceive,lies;lie;lying;lied;laying;deceit;Sin;sin;truth;cunning
"You re naked , lying in your bed surrounded by sex toys , with an empty bottle of lube and a videotape lying next to you .",lying,arrange;lay;situate;leave;resting,laying;standing;lies;lie;sleeping;sitting;drifting;ying;lying;passing
"It is human nature to fight unfairly ; therefore , we need to think in advance and rehearse in advance how to fight fairly , so we wo nt get nasty when we get angry .",nasty,unpleasant;vicious;spiteful;horrible,ugly;lost;petty;angry;bitter;mean;violent;messy;mad;upset
He did nt say anything and kept smiling an insincere and nasty smile .,nasty,unpleasant;spiteful;mean;malicious;disagreeable,pathetic;bitter;indifferent;miserable;bloody;smug;filthy;mean;rude;happy
The Mountain :  Conditions are about to get nasty .,nasty,unpleasant;disagreeable;inhospitable,ugly;worse;mean;bad;serious;rough;hairy;tricky;better;tough
"And will probably stay nasty during the next administration , no matter who wins .",nasty,unpleasant;unpalatable;mean;malicious,ugly;bitter;hot;brutal;nicer;mad;alive;mean;vicious;cold
"The nasty party after all October 10 , leader : Iain Duncan Smith delivered a speech to the 2003 Tory party conference in Blackpool yesterday that was nasty , brutish and long .",nasty,unpleasant;vindictive;painful;malicious;disagreeable,Tory;Labour;bloody;last;bitter;real;big;darkest;rotten;first
 ( on playing Verdasco )  He s nasty .,nasty,mean;unpleasant;spiteful;vicioous,uture;fx;.;e;aldo;iu;auer;otto;igue;iro
"Lewis Gilbert’s 1966 misogynistic rake’s progress always depended on the cheek , charm and chutzpah of the Kohl-eyed Caine’s iconic Cockney cocksman to take away the nasty taste in one’s mouth .",nasty,unpleasant;foul;bad;bitter;horrible,bitter;sour;foul;awful;sweet;unpleasant;bloody;bad;tasty;good
"I would like a big , nasty , mean , ugly automatic rifle or grenade launcher that I could fire at any car whose alarm blares repeatedly .",nasty,mean;vicious;dirty;unpleasant;formidable;horrible;dangerous,ugly;mean;small;fat;big;ny;slow;good;heavy;bad
"A few years ago , when most monitors used 256 colours , it was important to use the Web Safe palette to avoid nasty dithering .",nasty,unpleasant;annoying;objectionable,ugly;accidental;buggy;bad;messy;screen;toxic;unwanted;unnecessary;horrible
"These programs , called malware , can do nasty things like spy on you when you use your PC and allow hackers to access your hard drive .",nasty,mean;bad;unpleasant;malicious;objectionable;offensive,bad;mean;scary;weird;creepy;awful;horrible;terrible;malicious;tricky
" I m glad we made lots of money , though it nearly cost the two of you your sanity .",nearly,almost,almost;near;may;practically;really;still;mostly;likely;definitely;truly
"In the 1997 elections , constitutional nationalism nearly lost out to republicanism .",nearly,almost,I;In;.
"Fire Lookout Museum 123 W. Westview Spokane , WA 99218 ( 509)466-9171 email : rkresek@webtv.net INTRODUCTION During the summer of 2000 , the Inland Northwest United States experienced a wildfire season nearly unprecedented in America .",nearly,almost;practically,almost;virtually;historically;near;largely;previously;practically;mostly;completely;also
"HOUSTON , Texas ( CNN ) -- Human remains found in a field in Texas late Saturday are believed to be those of at least one of the seven astronauts who perished aboard space shuttle Columbia when it disintegrated nearly 40 miles above the Earth .",nearly,almost;approximately,roughly;soared;around;approximately;soar;plummet;Earth;almost;near;hundreds
"Geographically , the West Bank , then under Jordanian rule and occupation , cut Israel nearly in half .",nearly,almost;practically;approximately,almost;cut;practically;half;roughly;right;reduced;Israel;literally;Was
I had nt nearly finished the work at hand .,nearly,almost;anyway;anywhere;remotely;even,yet;quite;ih;even;fully;gotten;practically;ill;already;ah
"Comprised of thousands of small , independent units , the printing industry employs nearly 1 million in some 60,000-100,000 plants and accounts for somewhere in the neighborhood of 100 billion dollars in business every single year , while at the same time , contributing to toxic air emissions and solid and chemical waste problems on an ever-growing scale .",nearly,almost,approximately;roughly;almost;approx;around;circa;several;Nearly;perhaps;near
"In fact , according to his congressional biography , Murtha was on active duty for six years at most ( 1952-55 and 1966-67 ) ; the rest of the time , including some 16 of his nearly 32 years in the House , he was a reservist .",nearly,almost,almost;first;near;remaining;last;long;many;circa;previous;whopping
"Semantically , FDR COULD be the cause of the Great Depression if you think , as I do , that the recession wouldn’t have lasted nearly as long without all his taxes , price fixing , wage fixing , and regulations .",nearly,half;anyway;anything;almost;quite;even,quite;near;Not;half;almost;twice;After;like;Just;By
"In the preceding decade of political struggle , Ms. Bhutto was arrested on numerous occasions ; in all she spent nearly 6 years either in prison or under detention for her dedicated leadership of the then opposition Pakistan Peoples Party .",nearly,almost;approximately,almost;practically;virtually;circa;around;roughly;nearing;another;near;approximately
" Our peak is early November , but it has gotten a little later as the years go by ,  said Dave Menke , the U. S. Fish and Wildlife Service s Klamath Refuge Complex outdoor recreation specialist .",outdoor,open-air;outside;outward-bound,"Area;climate;Wildlife;al;Arctic;wildlife;Desert;Wet;,;animal"
"The goals for the camp include : 1 ) Outdoor experiences 2 ) Social integration ( English and Spanish speakers ) 3 ) Academic learning in the outdoors Students will plan and lead a variety of games and activities including , but not limited to : math lessons , art projects , games , and outdoor leadership/teambuilding initiatives .",outdoor,open-air;outside;outward-bound,"camp;sports;hiking;camps;e;camping;.;,"
Outdoor Electrical Safety Check Tips For The Safe Outdoor Use Of Electricity ESFi Electrical Safety Foundation International Published as a public service by the Electrical Safety Foundation International in cooperation with the U.S. Consumer Product Safety Commission and the Canada Safety Council .,Outdoor,outside;external,The;Basic;Free;Consumer;Safe;Food;Your;Recommended;PDF;National
"According to John Reichling of Camp , Dresser  McKee , an environmental engineering firm in Cambridge , Mass. ,  shelter in place  also involves architectural changes such as widening hallways , enlarging rooms , and enclosing outdoor hallways .",outdoor,external;outside;open-air;uncovered,outside;four;existing;outer;inner;rooftop;external;unused;exterior;interior
"A bridge takes one over into the outdoor space that is the heart of the home , the nucleus , held on each side by the three structures that surround it .",outdoor,outside;external;open-air;uncovered,underground;outer;open;spiritual;white;hidden;inner;sacred;enclosed;urban
"Work : In a Landscape protected area , making the birds little wooden houses , springs and little rivers cleaning , outdoor environmental work .",outdoor,open-air;outside,"outside;,;ecological;special;external;environmental;informal;optional;little;experimental"
IATSE donated free labor and an outdoor sound system .,outdoor,open-air;outside;external;all-weather,outside;amplified;external;exterior;unused;additional;included;optional;acoustic;extra
"This is about as big as most finecky fine-art photographers require , and even outdoor billboards are routinely made from files with less resolution that this .",outdoor,external;outside;roadside;open-air,commercial;larger;street;city;sidewalk;digital;architectural;smaller;large;photo
"Active children and adults , and people with respiratory disease , such as asthma , should avoid prolonged outdoor exertion ; everyone else , especially children , should limit prolonged outdoor exertion .",outdoor,open-air;outside,outside;outdoors;physical;leaf;prolonged;external;excessive;aerobic;active;daytime
"With the growing demand for these fine garden furnishings , they found it necessary to dedicate a portion of their business to outdoor living and patio furnishings .",outdoor,alfresco;open-air;outside,garden;patio;outdoors;RV;home;fine;outside;interior;furniture;backyard
"Due to China s economic reliance on trade , balance of payments should be the main factor for judging whether the yuan exchange rate is reasonable .",reasonable,fair;sensible;good;good;reliable,sustainable;stable;favourable;sensible;viable;competitive;high;...;neutral;dynamic
Copyright law already addressed the issue in a much more reasonable manner .,reasonable,sensible;measured;rational;well-judged;reliable,humane;modest;responsible;prudent;robust;appropriate;general;complicated;limited;reasoned
 What we require now is the co-operation from the Federal Government to provide a flow of mortgage money through CMHC at reasonable interest rates and to encourage the conventional loans to be channelled into smaller units so that we may have the opportunity of the best housing and building programme in Canada in 1971 .,reasonable,moderate;acceptable;inexpensive;fair;affordable,decent;nominal;acceptable;sensible;reasonably;satisfactory;ample;modest;realistic;sufficient
"For reasonable people , sure that ll suffice .",reasonable,sensible;rational;fair;equitable,rational;sensible;sane;common;asonable;reasonable;certain;every;many;decent
Your objective should be to negotiate a contract type and price ( or estimated fee and cost ) that will result in reasonable contractor risk and provide the contractor with the greatest incentive for efficient and economical contract performance .,reasonable,moderate;acceptable;fair;justifiable;manageable;appropriate,minimal;lower;reduced;minimum;realistic;acceptable;healthy;minimizing;responsible;best
"And if no exact  safe equilibrium can be introduced , it is more reasonable that a preponderating weight shd. be allowed to the greater interest than to the lesser .",reasonable,sensible;fair;just;acceptable;tolerable;appropriate,reasonable;probable;sensible;desirable;fitting;likely;plausible;important;humane;logical
"Besides overseeing the operation of PIPEDA and dealing with complaints , I can conduct audits into organizations  personal information-handling practices , if we have reasonable grounds .",reasonable,adequate;justifiable;credible;sufficient;acceptable;reliable,sufficient;good;legal;probable;satisfactory;adequate;medical;minimum;audit;decent
The matter of the further evidence may then be heard when the other party has had reasonable opportunity to prepare submissions on the matter .,reasonable,fair;adequate;sufficient;enough,sufficient;ample;adequate;proper;every;probable;good;another;equal;substantial
"This will allow state-licensed health-care providers to utilize safe , non-FDA approved , alternative therapies that have a reasonable expectation of therapeutic gain if the patient has been fully informed about the treatment .",reasonable,sufficient;fair;good;likely;acceptable;high,realistic;fair;plausible;high;reasonable;legitimate;clear;healthy;rational;good
