sentence,target,gold_05,gold_01
"The panes looked dyed black, and only a few cold beams slipped through the filter. Footsteps echoed through the stone chamber, and the sound reflected back to me from everywhere. I couldn’t tell how many people were running, much less where they were.",stone,rock;granite;concrete,rock;granite;cement;rocky;mineral;pebble;ore;concrete;hard piece of earths surface
"Nepthys quickly answered for me. “Girlfriend troubles. She came down here with someone after a party, and I don’t think it was one of your average pixies.”",troubles,woe;difficulty;issue;struggle;hardship;predicament;problem;concern;stress;pains,discord;failure;scrape;woe;difficulty;anxiety;issue;complaint;suffering;tumult;grief;pickle;struggle;task;affair;misfortune;hassle;hardship;predicament;irritation;problem;ailment;agitation;malady;dilemma;tribulation;trial;danger;annoyance;strife;sorrow;strain;concern;torment;distress;inconvenience;stress;pains
he screamed. “You idiots! You woke it up?,idiots,blockhead;dimwit;twit;imbecile;bonehead;nincompoop;dunce;moron;simpleton;numskull;nitwit;ninny;dumbbell;fool;pinhead,blockhead;very stupid person;dimwit;twit;jerk;stupid;imbecile;bonehead;nincompoop;dunce;moron;simpleton;numskull;nitwit;ninny;dumbbell;dork;fool;pinhead
"They nodded. “Oh, totally,” said the hunchback. “I get that all the time around here.”",totally,positively;absolutely;completely;surely;definitely;for sure;entirely;exactly,positively;absolutely;thoroughly;completely;surely;flat out;really;altogether;definitely;for sure;entirely;utterly;truly;exactly
"“It must have been wishful thinking.” “No, I saw him! I have to hurry, too!",saw,lay eyes on;witness;spot;catch sight of;catch a glimpse of;recognize,lay eyes on;notice;witness;gaze;discover;observe;get a load of;eye;sight;spot;look up;identify;perceive with eyes;hear;feel;regard;call;make out;envision;espy;view;pay attention to;get the drift;catch sight of;glimpse;catch a glimpse of;appreciate;recognize;meet;look at
"“Nathan,” said Nepthys, “I think that you just did something very stupid.” “I agree,” I told him. The stone was as warm as human flesh now, and there was a sort of glow that might have been light or just the stone’s soft heat, I don’t know.",told,disclose;express to;explain;inform;say to;mention,speak to;reply to;warn;disclose;answer;express to;explain;chronicle;reckon;state;leave word;leak;fill in;proclaim;let know;inform;instruct;notify;communicate;utter;say to;let slip;confess;recite;authorize;mention;express;advise
"Shivers swept through her body, and Nepthys reached out to touch her but I stopped him. He glanced at me with honest concern, probably the first honest moment he’d shown me: ‘Is she all right?’ I didn’t know.",glanced,look at briefly;look;peek;gaze,run over;look at briefly;flash;check out;peep;look;gleam;glint;scan;take a gander;peek;gaze;peer;glimpse;graze
"A Russian accused of being in organized crime was arrested in Italy on Wednesday on an American complaint that he conspired to fix the pairs figure skating and ice dancing competitions at the recent Salt Lake Winter Olympics, which were dominated by the sport's judging scandals. The Russian, Alimzhan Tokhtakhounov, who was arrested by the Italian authorities at his resort home in Forte dei Marmi, appeared to have a singular motivation for rigging the competitions: getting a visa to return to France, where he once lived. The federal prosecutor in Manhattan alleged in a criminal complaint that Tokhtakhounov had conceived and directed a scheme with a second man alleged to be in the Russian mob and a member of the Russian Skating Federation to secure a gold medal for the top Russian pairs skaters and for the top French ice dancers, one of whom is a Russian.",getting,attain;obtain;secure;gain;acquire;procure;get hands on;be given,order;attain;catch;snag;try;receive;produce;grab;come into possession of;succeed to;nail;carry;buy into;earn;inherit;score;achieve;lay hold of;influence;stimulate;snap up;come to;propagate;net;access;arrange;obtain;cop;secure;gain;accept;fetch;have;pick up;nab;acquire;make;extract;work out;come down with;procure;get hands on;be given;contact for communication get in;lay ones hands on
"""I have made it a policy of mine never to serve Chilean seabass,"" said Billy Hahn, executive chef at Jake's Famous Crawfish, a Portland, Ore., landmark since 1892. ""I refuse to sell it."" Chilean seabass, also known as Patagonian toothfish, came into vogue in the 1990s in U.S. restaurants and fish markets.",sell,offer;market;distribute;trade,offer;deal in;put up for sale;bargain;barter;merchandise;market;advertise;auction;pitch;distribute;trade;vend;retail;unload
"With prescription privileges now a reality in one state, some RxP opponents concede that it may be too late. This year four states besides New Mexico -- Georgia, Hawaii, Illinois and Tennessee -- have pending legislation for psychologist prescription privileges. Over the past decade, 14 state legislatures have considered such laws.",privileges,permission;authorization;authority;power;right,benefit;license;permission;advantage;favor;authorization;opportunity;reward;entitlement;authority;liberty;power;perquisite;ability;right
"The 300-member SSCP is the only group within the APA to have taken a formal stance against prescription privileges. The APA has scheduled 30 minutes at its meeting in August for an RxP debate, but its leadership believes it already has an accurate sense of support for its RxP policy. ""Except for this small vocal minority, we have just not gotten a lot of groundswell against this from members,"" says APA president Philip G. Zimbardo of Stanford University.",debate,discussion;deliberation;dialogue;dispute;discussion of issues,talk;discussion;deliberation;altercation;contest;dialogue;refuting;dispute;discussion of issues
"Both were smart, disciplined, quiet men who thrived on efficiency, perfection and self-reliance. Each had skills the other admired. Tibbets was a decorated, top-gun pilot, but Karnes could wrangle the military rule book as well as Tibbets could fly.",other,alternative;other person;other one,alternative;man;other person;otherwise;other one;another;variant;remaining;additional;contrasting;spare
"He earned a doctorate in history from Stanford University and taught Latin American history at Tulane University and Arizona State University. Next week marks the 57th anniversary of the atomic bombings. As always, Karnes' mind will drift to memories of his good friend Tibbets, 87, who lives in Columbus, Ohio.",atomic,thermonuclear;atom;nuclear,thermonuclear;atom;atom bomb;atom-powered;h;nuclear
"""Except for this small vocal minority, we have just not gotten a lot of groundswell against this from members,"" says APA president Philip G. Zimbardo of Stanford University. With prescription privileges now a reality in one state, some RxP opponents concede that it may be too late. This year four states besides New Mexico -- Georgia, Hawaii, Illinois and Tennessee -- have pending legislation for psychologist prescription privileges.",prescription,medication;drug order;drug,medication;drug order;prescription write;medical;pharmacological;drug;medicine
"“I don’t know …hey, what about the nature spirits, things like that? I mean, where do the dryads fit in a place like this?” “If the tree isn’t around, the dryad isn’t around.",mean,,argue;anticipate;allude;connote;herald;portend;attest;express;propose;drive at;signify;determine;convey add
"He pulled my ear down to his mouth. “You seen enough, man?” he shouted.",enough,plenty;all you need,adequate;plenty;satisfactorily;adequately;sufficient;all you need;sufficiently;abundantly
"You got the sucker already?” “No, but we got a tip that he might be in your club. Have you seen him?”",got,come into possession of;have;get hands on;gather;recieve;obtain;acquire;receive,come into possession of;secure;figure out;have;buy out;perceive;entertain;beget;get hands on;pick up;accept;gather;hear;comprehend;work out;recieve;obtain;take;overpower;generate;acquire;inherit;attain;grab;learn;lay hold of;elicit;adjust;accomplish;become;memorize;receive;notice;take in;contact for communication get in;get into ones head
"The complaint casts the Salt Lake City figure skating scandal in a more serious light than the cronyism and vote-swapping that have tainted the increasingly troubled sport. Over the past four years, four judges have been suspended, including a Ukrainian who was taped by a Canadian judge detailing the order of finish for the ice dancers before the 1998 Winter Games in Nagano, Japan. If convicted of the charges against him -- conspiracy to commit wire fraud and conspiracy to commit bribery, both felonies _ Tokhtakhounov faces maximum prison time of 10 years and a fine of $500,000 or more.",detailing,describe;spell out;elaborate;specify,explain;show;enumerate;uncover;allocate;relate;lay out;portray;describe;list;spell out;elaborate;depict;assign specific task;specify;make clear;narrate;stipulate;tell;recite;recount;delineate
"I heard an automatic window roll down. “Hey,” said a male voice, “do you need some help?” I turned around.",need,desire;be in need of;want;require;have use for,desire;be in need of;hunger;covet;have occasion to;want;be poor;suffer privation;have occasion for;miss;wish;long;feel the necessity for;require;thirst;have use for;call for;want something be
"“I need to file a missing persons report. …Rachel Frieze. Last night, walking on West 2nd street around – maybe eleven or twelve o’clock. What?",Last,previous;the previous,hindmost;concluding;once and for all;farthest;finishing;definitive;previous;yesterday;the previous;prior;past
"“You know I wouldn’t come to you if I could get this information another way,” said Nepthys apologetically. “Mmm,” she replied. I couldn’t tell what the thoughtful look on her face meant.",replied,respond;answer;retort;say;remark,respond;answer;field the question;reciprocate;acknowledge;write back;echo;be in touch;retort;comment;feedback;react;say;shoot back;get back to;remark
"I’m just fine. Really, don’t worry about me.” “Nathan Spencer, I offer you help.",worry,fret;concern;be concern;bother;distress;concern oneself,anguish;fret;upset;concern;feel uneasy;be or make anxious;sweat out;be concern;bother;aggrieve;distress;torment;afflict;concern oneself;agonize;stew;brood;tear;troubled;bite ones nails
"Dvorov was somewhere behind me, too, negotiating delicately through his patrons. Just in front of me, a massive thing slammed into the wall, sending up a cloud of granite dust. It slumped to the floor and I realized that it was a werewolf.",front,ahead,frontal;ahead;frontage;facing;brow;before;forward;lead
"After this, we went up a flight of stairs and past a row of doors barred on the outside. “Excuse me,” I said, ignoring Nepthys’ warning look, “but may I ask what is kept in these rooms?” The woman laughed.",said,declare;speak;communicate;announce;state;express;remark;verbalize;suggest;utter;mention;put into words,declare;speak;communicate;announce;state;express;affirm;make known;remark;assert;deliver;verbalize;voice;suggest;reply;give voice;pronounce;make declaration;utter;conjecture;mention;add;put into words
"War is hell, he says, and when it was over, he wanted to come home and rejoin his young family and not dwell on it. He earned a doctorate in history from Stanford University and taught Latin American history at Tulane University and Arizona State University. Next week marks the 57th anniversary of the atomic bombings.",taught,instruct;lecture;lecture on,instruct in;be a professor of;instruct;give the facts;illustrate;teach;explain;educate;impart;tutor;profess;lecture;give instruction;expound;instill knowledge;lecture on;develop;form;professed;inform;show;communicate;enlighten;give lessons;show the ropes
"I nodded. “A little walking should get the stuff into your system. Come on, let’s go.”",little,small amount;short;bit;bit of;wee,small amount;short;sparse;bit;meager;not big;limited;microscopic;light;small-minded;casual;slight;brief;bit of;wee;small in
"Something with too many arms was manning the turntables above the crowd, which looked more impenetrable tonight than ever before. Then I saw the bar on the other side of the crowd and knew where to start looking. I tried to slip along the edge of the crowd.",bar,drinking area;bartender station,lounge;canteen;drinking area;obstacle;barrier;pub;establishment serving alcohol;cocktail lounge;barroom;bartender station;tavern;beer garden;deterrent;straight length of material;blockage;shaft;rail;lawyers;wall;fence
"He was slim, almost drawn, but he had a kind of … luster to him, I guess. He wasn’t a person you’d describe with normal adjectives, you know?” They nodded.",person,human;human being;individual;mortal;fellow;guy;character;man;somebody;specimen,human;spirit;self;human being;creature;individual;living soul;mortal;personality;fellow;guy;being;soul;character;man;identity;somebody;personage;life;specimen
"His first move pulled out the dagger, almost wrenching my arms from their sockets as I held on to the box, and the second shattered the box with a crushing punch that sent me reeling backwards. I dropped the splinters and the broken second stake and raised my hammer, ready to drive the ash spike into his heart. Behind him, I saw Nepthys running between the pews.",raised,hoist;pick up;lift;hold up;bring up;lift up,pull up;heighten;hoist;pick up;lift;heave;boost;nourish;foster;arouse;resurrect;put up;lever;uplift;elevate;throw up;hold up;move up;bring up;lift up;place up;stand up;increase
"It was last February, after the winter break, that we moved in together. Now spring was back, under the concrete, and I could smell it even here. “Isn’t it an amazing night, Rache?",even,,as well as;so much as;still;much
"Tinian Island had been captured from Japan, and the Seabees, the construction arm of the Navy, had built two large airfields. The 509th took North Field and stayed in relative isolation from other B-29 units on the island. Karnes handed out bunk assignments, choosing the mess officer, Chuck Perry, to share his tent.",island,territory;isle,islet;territory;sanctuary;land surrounded by body of water;isle;atoll;remote area;land;isolated land
"No,” she said, seeing his expression, “that would make the stone rather useless.” Nevertheless, she gave me what I can only describe as an “appraising glance”.",expression,look;face;facial appearance,look;character;visage;face;emotion;language;grimace;pout;simper;facial appearance;sneer;assertion
"Karnes was Tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications. Tibbets picked the names, and Karnes made it happen. Tibbets hated paperwork.",happen,come into being;take place;ensue;occur;come about;possible,pass;crop up;befall;go on;come to pass;come into being;eventuate;take place;present itself;recur;appear;arrive;ensue;develop;follow;come off;turn out;occur;take effect;become a fact;result;come into existence;come about;possible;proceed;arise;transpire;become known;materialize
"He ran down a hallway and slipped behind one of the doors, but Nepthys was close behind him and left it open for me. I called out to Amy to shut the door in case the vampire had any friends who might be trying to follow us. Inside was a dark room that looked like a storage space for DJ equipment.",door,hatch;portal;entrance;entryway;entry;doorway,hatch;portal;entrance;entryway;exit;hatchway;entry;doorway;building aperture;room;entrance to
"He didn’t look very surprised. “Anyway, this is the dance floor, man. Good luck.”",dance,dancing,disco;samba;boogie down;masquerade;rhumba;dancing;jig;hoedown;shimmy;boogie;movement
"Tibbets and his crew had exactly 43 seconds to get away before the bomb exploded. The Enola Gay climbed, and Tibbets fought to turn the plane in the air-bending, 155-degree the crews had been practicing off Tinian for months. He pushed off the dark glasses because he couldn't see to fly.",fought,battle;spar;struggle;take on;scuffle;wrestle;wrangle,feud;battle;combat;brush with;bandy with;tilt;persist;contend;spar;put up an argument;tussle;struggle;squabble;take on;altercate;duel;scuffle;fall out;brawl;push forward;force;tangle with;wrestle;exert oneself;buckle down;buck;tug;take pains;wrangle;strive;attempt;action
"""I do it as somebody who has a conscience and is caring."" JL END COLE (Michelle Cole is a staff writer for The Oregonian of Portland, Ore. She can be contacted at michellecole(at)news.oregonian.com.)",staff,team;crew;company;workers,wand;team;fulltime;stick;pikestaff;cast;representative;crew;house;faculty;employees of organization;help;regular;company;workers
"So -- does he? ""Yeah, I do,"" said Johnson, who has a full head of gray hair in common with the comedian-turned-playwright. ""I was stopped in San Francisco one time by a Japanese tour bus.",playwright,person who writes for the theater;scripter;writer;scriptwriter;author,person who writes for the theater;dramaturgist;tragedian;scenarist;dramatist;scripter;writer;scriptwriter;author;dramaturge
"The answer is no. He accepts his role with a club and he's a team guy. He's got that reputation and that's important to us, especially a club like ours that is an egoless club.""",guy,man;player;person,chum;buddy;chap;member;dude;individual;man;brother;bloke;player;person
"She didn’t come home last night, none of her friends have seen her. …Sir, if she’s in any danger, it will probably be too late to help her by that time. My girlfriend has disappeared, I don’t even know where to start looking, and I need help!",help,assist;support;aid;rescue,remedy;do a service;assist;accommodate;serve;better;benefit;abet;support;aid;rescue;stick up for;cure;go with;doctor
"I pulled out the hammer and one of the stakes. He leapt over the pews, soaring like a grasshopper, and drew a gleaming knife in midair. I dodged, but he tossed it, and I held the box in front of my face.",soaring,fly,glide;escalate;shoot;shoot up;move;ascend;sail;tower;skyrocket;rocket;fly
"I pulled my T-shirt’s sleeves down my arms as far as they’d go, but I wasn’t ready for cold. Walking didn’t build up much heat; it just moved the air enough to chill me more. After I’d walked about a block, a car rolled up behind me.",heat,warmness;warmth;temperature;hotness,desire;passion;excitement;warmness;warmth;ferocity;comfort;calefaction;temperature;vehemence;violence;high temperature;warming;agitation;fury;anger;intensity;rage;swelter;fieriness;hotness
"Chinese hot-and-sour soup made with egg white and crabmeat often includes bitter melon. It also appears in stir-frys, especially those based on pork. Black bean sauce is a favorite seasoning.",based,reliant,construct;establish;prop;derive;reliant;hinge;dependent;focus;station
"The ISU later suspended Le Gougne and Gailhaguet for three years. The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne. ""We have alleged no connection between this man with any officials other than with Russian federation officials,"" James B. Comey, the U.S. attorney for the Southern District of New York, said at a news conference.",complaint,allegation;objection;charge;grievance;criticism,allegation;ailment;objection;condition;charge;statement of disagreement;protest;grievance;accusation;indisposition;lament;protestation;fault-finding;statement;criticism;discontent;reproach
"Francis Ford Coppola, film director: ""I think she's a fascinating woman, and I enjoy very much watching her shows with Jacques Pepin."" Harry Denton, San Francisco nightclub owner: ""My favorite thing about her is her straightforward honesty and that her favorite food is butter. I love butter, too.""",straightforward,uncomplicated;up front;complete;straight-arrow;frank;honest;sincere;open;blunt;clear-cut;candid;direct;outspoken;clear;truthful;forthright;genuine;plainspoken,plain-dealing;uncomplicated;unequivocal;up front;complete;straight-arrow;upright;square-shooting;frank;honest;level;sincere;simple;veracious;unconcealed;open;blunt;clear-cut;laid on the line;like it is;honorable;candid;direct;upstanding;outspoken;undissembled;guileless;clear;manifest;truthful;unambiguous;forthright;undisguised;unvarnished;genuine;pretenseless;plainspoken;unreserved;barefaced
"I couldn’t move. “Name me,” she said. I opened my mouth to ask for an explanation, but Nepthys stopped me.",Name,name,call;christen;report;surname;brand;give a name;designation;credit;label;note;praise;place name;name;tag
"The new factory, which will begin normal production early next year, will employ about 1,000 people. (BEGIN OPTIONAL TRIM) In remarks during a ribbon-cutting ceremony here on Wednesday, Gov. George E. Pataki said he expected the facility to generate thousands more jobs in the Hudson Valley area for contractors and suppliers catering to the factory. He praised IBM for being ""a critical partner in our economic development efforts"" in New York state.",said,state;note;announce;disclose;suggest;report;reveal;claim;declare,imagine;state;relate;recite;note;verbalize;announce;answer;disclose;imply;mention;put forth;voice;assert;speak;affirm;maintain;orate;make declaration;come out with;add;suggest;put into words;estimate;make known;judge;pronounce;tell;give voice;report;divulge;reveal;communicate;remark;reply;claim;allege;respond;declare
"By rule, the players to be named later cannot be players on the active major-league roster. In the past week, the Angels deemed outfield depth their biggest need, above adding a reliever to the bullpen. Orlando Palmeiro was the only backup outfielder on the major-league roster and the outfielders in the minor-league system are too inexperienced to be counted on in a pennant race.",deemed,consider;determine,presume;regard;consider;admit;sense;appraise;view;reckon;understand;determine;call;decide;name;know;surmise;think;believe;feel
"Even if you did find this vampire cat, he’d tear you apart! If he got your girl, she’s probably dead!” I shook him off and squeezed between two dancing nymphs, getting almost to the edge of the dance floor.",probably,plausibly;more than likely;in all probability;most likely;presumably;perhaps;no doubt;likely;in all likelihood,as likely as not;presumptively;reasonably;plausibly;like enough;believably;doubtless;more than likely;feasibly;apparently;in all probability;assumably;possibly;most likely;undoubtedly;presumably;seemingly;one can assume;perchance;perhaps;imaginably;no doubt;maybe;likely;in all likelihood
"But since it's the middle of summer, I am adding fresh corn to it"" -- plus a dollop of caviar for good measure. In the same vein, Gras is tweaking her salade nicoise, and Jeanminette is adapting her mousse au chocolat to become a spectacular six-layer pecan marjolaine. He could hardly go wrong.",vein,manner;spirit;style;way;fashion,course;mode;caliber;attitude;temperament;manner;line;spirit;strain;note;tone;breath;nerve;thought;style;way;wave;mind;fashion;blood vessel
"Almost overnight, Wendover became a high-security base filled with off-limit areas covered in barbed wire. No one was allowed to talk about what they saw or heard, even though most of the 509th had no idea why they were there, except that 15 B-29s were being modified to carry a heavy load. Karnes and his staff read outgoing mail to make sure no secrets slipped out.",saw,witness;notice;catch a glimpse of,inspect;witness;discover;observe;notice;perceive with eyes;catch a glimpse of;take in;glimpse;detect;view;look at;envisage;distinguish;identify;catch sight of;discern;take notice;encounter;watch;experience;make out;gaze;look up;lay eyes on;learn;unearth
"He said that Tokhtakhounov ""reached out to a co-conspirator, somebody connected to the Russian Skating Federation, who did the legwork for him."" Maxwell Miller, Le Gougne's lawyer in Salt Lake City, said no evidence of organized crime influence came up in her suspension hearings before the ISU ""I think this situation vindicates the argument that we've made all along,"" he said. ""She's a scapegoat and a target of a corrupt system and was unfairly singled out.""",hearings,proceeding;investigation;trial;court proceeding,council;admittance;ability to perceive sound;review;tryout;reception;session;interview;proceeding;meeting;audit;inquiry;case;investigation;trial;audience;discussion;court proceeding;consultation;negotiation;listening
"The crew slipped on dark glasses to prepare for the blinding flash of the bomb. At 8:15 a.m. Hiroshima time, the pneumatic bomb-bay doors opened and ""Little Boy,"" equivalent to 20,000 tons of TNT, fell out. Tibbets and his crew had exactly 43 seconds to get away before the bomb exploded.",fell,topple;tumble;drop,topple;nose-dive;tumble;plummet;descend;plunge;wane;dive;gravitate;take a header;land;become lower;submit;shoot;flop;pitch;depreciate;backslide;slope;drop;propel;dip;down;surrender back
Lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation. RxP opponents charge the APA with pushing its prescription-privileges agenda without adequately assessing support for it in the field. The 300-member SSCP is the only group within the APA to have taken a formal stance against prescription privileges.,adequately,acceptably;sufficiently;thoroughly;completely;appropriately;suitably;properly;satisfactorily,acceptably;modestly;sufficiently;thoroughly;completely;fairly well;appropriately;copiously;to an acceptable degree;capably;suitably;decently;competently;fittingly;pleasantly enough;properly;satisfactorily;well enough;abundantly
"Rod Moore, executive director of the West Coast Seafood Processors Association, suggests that activists with an agenda are manipulating chefs and retailers. The conservation groups providing information to chefs and retailers and lists of environmentally appropriate seafoods to consumers are the same groups working to affect fisheries management on the political and regulatory level, Moore said. That's simply good strategy, said James Leape, deputy director of the conservation program for the David and Lucile Packard Foundation in Los Altos, Calif.",lists,archive;catalog;checklist;listing;menu;record;catalogue;index,outline;brief;detail;information;report;archive;catalog;memorandum;bulletin;roll call;draft;checklist;tabulation;score;slate;series;enumeration;listing;account;roster;lineup;gazette;inventory;menu;record;schedule;catalogue;manifest;register;invoice;index
"I noticed that the wrinkles on his neck expanded as he breathed and realized that they were gills. “We interact with humans, take advantage of them, grant them boons, sometimes even become their friends, but the majority of both societies have little or no interaction. At this point, we have removed ourselves so fully from quotidian human existence that we are understood to be fictional.",take,,"ingest;devour;partake of;deduct;contain;seize;gain;endure;regard;capture;snag;obtain;eliminate;execute;con;win;appropriate;fetch;need;grasp;take it;stomach;crave;haul in;utilize;convoy;pull a fast one;nab;assume;select;prefer;undertake;abide;exercise;accept, adopt;seized"
"“Come on!” shouted Nepthys. We chased after him, Amy keeping up valiantly behind us.",shouted,exclaim;bellow;yell;holler;scream;call out,exclaim;bellow;cry out loudly;roar;yap;yell;whoop;squall;holler;scream;call out;call
"So they’re probably worse than we think, okay, that’s great. Now can you tell me what your master plan of attack will be before we go spinning counterclockwise into an Anne Rice novel?” “My plan is that you shut up while we’re trying to conduct business with someone who might be able to tell us what we’re actually going up against.",master,great;main;professional;major;genius,"great;maestro;principal;champion;main;ruler;top dog;pro;commanding officer;professional;administrator;teacher;captain;grande;major;instructor;overlord;chief;female or male;general;winner;genius;schoolmaster/ mistress;boss;expert, skilled person, female or male"
Now can you tell me what your master plan of attack will be before we go spinning counterclockwise into an Anne Rice novel?” “My plan is that you shut up while we’re trying to conduct business with someone who might be able to tell us what we’re actually going up against. Okay?,plan,proposition;strategy;idea;game plan;ground plan;agendum;intent;course of action;agenda;intention;arrangement;aim;tactics,"policy;proposition;strategy;proposal;idea;machination;game plan;ground plan;agendum;projection;intent;course of action;agenda;intention;arrangement;scenario;rough draft;big picture;written description;aim;animus;blueprint;scheme, design, way of doing things;purpose;tactics;means;draft;outline"
"The next time the crowd split, I saw him. He stood in front of a blue light, so I couldn’t see him clearly, but what I saw was memorable. He wore a jacket of what might have been blue velvet, and his hair gleamed black against his white skin.",memorable,noteworthy;unforgettable;remarkable;significant;rememberable;notable,indelible;worth remember;standout;eventful;noteworthy;lasting;meaningful;striking;extraordinary;impressible;unforgettable;great;interesting;remarkable;shocking;monumental;surpassing;historic;significant;rememberable;noticeable;mind-blowing;astonishing;notable;important;distinguished;impressive
"I opened my mouth to ask for an explanation, but Nepthys stopped me. “Don’t name her ‘What did you say?’, okay? The next thing that comes out of your mouth is probably what she’ll respond to until we figure out how to put her back.”",okay,,accurate;good;acceptable;surely;please;all right;right
"asked the hunchback. “I’ve looked into it a little, and I do think we might be dealing with one of them. Have you seen anyone like that in your club?”",dealing,negotiate;work out deal;do business;interact,face;contend;strike;negotiate;swap;tangle;work out deal;bargain;involve;work;do business;interact
"""We have seen that raising consumer awareness and concern among restaurants and retailers about a particular fishery can really make a difference."" "" (OPTIONAL TRIM FOLLOWS) The Monterey Bay Aquarium's Web site rates different species of fish for overfishing, habitat damage and other factors. The California aquarium also created ""Seafood Watch"" wallet cards designed to take to restaurants.",damage,wrecking;destruction;harm;impact;ruining;devastation;disturbance;ruin;loss,mishap;hardship;wrecking;destruction;harm;spoilage;waste;depreciation;injury;impact;knockout;breakage;ruining;devastation;marring;mutilation;bruise;debasement;alteration;disturbance;contamination;detriment;impairment;corruption;affliction;wreckage;deterioration;pollution;catastrophe;ravage;ruin;loss
"Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory. He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read. No personal computer, not even the one on a chief executive's desk, is safe, this speaker noted.",committees,panel;commission;board;group;council;representatives,bureau;panel;task force;chamber;commission;delegate;board;group;council;trustees;consultants;representatives
"I'd never written up any award,"" Karnes said. ""So I got all of my sergeants out, and they're all digging through their (books.)"" When an unsuspecting Tibbets descended from the Enola Gay on Tinian, he barely managed to palm his pipe as Gen. Carl Spaatz, commander of the Strategic Air Forces, stepped forward to pin the medal on his bomb flight coveralls.",got,,have;secure;occupy;bag;draw;generate;coax;arrange;seize;capture;move;hustle;procure;get hands on;fetch;contract;acquire;grab;pull;win;earn;follow;defeat;dispose;turn;prompt;take;bring;manage desired goal;win over;bring in;convince;bring around;attain;receive;urge;stir up;reach;nail;strike;burn;see;make up;confound;stick;lay ones hands on
"“And I am Isis,” said the woman, offering her hand to me. I took it and, dropping to one knee, gave her fingers a small kiss. It seemed appropriate.",dropping,lower;go down;descend;fall;sink;fell,have done with;break with;stop;lower;dismiss;abort;tumble;go down;descend;fall;leave;plummet;get;plunge;bend;sink;slip;fell
"THE PRODUCE BIN: Bitter melon BY KAROLA SAEKEL c. 2002 The San Francisco Chronicle SAN FRANCISCO -- A staple of Chinese and Indian cooking, these gourds (botanically, Momordica charantia) with skin like toads grow on climbing vines that can reach 12 feet. The Chinese and Indian varieties differ little in taste.",skin,surface;exterior,rind;outer covering;film;membrane;derma;covering;case;crust;outside;surface;exterior;carapace;casing;coating;shuck;epidermis;hull;husk
"“Sorry, kid. –Would you do us the kindness of helping us to identify an individual?” “Wait, Nepthys – you said nothing about vampires.",identify,id;determine;pinpoint;recognize;pick out;label,id;name;determine;select;analyze;catalog;pinpoint;tag;spot;recognize;peg;pick out;button down;diagnosticate;label;determinate;place;put ones finger on
"As reinstalled in Washington, the kitchen should be as we all remember it from countless TV shows, ""right down to the toothpicks."" Child will go to the capital for the debut of the exhibit right after the Maine birthday bash. To see her kitchen -- and by extension, herself -- enshrined in the Smithsonian, she said, ""will be an odd feeling"" and no doubt bring back memories.",right,instantly;quickly;directly;soon;immediately;shortly;promptly,instantly;quickly;without pause;straight;directly;soon;immediately;presently;shortly;promptly
"Karnes has never spoken publicly about his role as Tibbets' right-hand administrative aide. He never even told his story to students in his 40 years of teaching college. War is hell, he says, and when it was over, he wanted to come home and rejoin his young family and not dwell on it.",story,biography;narrative;saga;life story;personal history;account;tale;memoir;history,biography;narrative;legend;saga;life story;report;anecdote;sequel;fib;fabrication;parable;news;version;personal history;tragedy;account;yarn;description;scoop;record;past;spiel;chronicle;tale;fantasy;memoir;history
"“What did you say?” asked Nepthys. She rolled onto her back, her arms crossed tightly over her chest.",asked,question;inquire;query,order;claim;command;implore;interrogate;hustle;question;supplicate;pop the question;examine;cross-examine;quiz;inquire;appeal;petition;plead;canvass;query;propose;solicit;put the screws to;request
"“He was wearing a sort of jacket …maybe blue velvet, I couldn’t tell in the dark, but it had ruffles at the throat, things like that. He really stood out. That’s why I couldn’t understand why no-one else remembered him.",really,definitely;truly;as a matter of fact;unquestionably;certainly;indeed;genuinely,undoubtedly;absolutely;indubitably;without a doubt;unmistakably;definitely;truly;beyond doubt;verily;as a matter of fact;in point of fact;literally;authentically;in fact;positively;unquestionably;of course;easily;for real;legitimately;certainly;admittedly;indeed;honestly;assuredly;genuinely;surely
"You look ridiculous with a shaved head.” At a nearby stand, he grabbed the first hat that would cover my head and might pass back in real Boston. It was a black baseball cap that read “Dead Can Dance” in gold across the front.",grabbed,take hold of;take;seize;snatch;grasp;snag;get ones hands on;get ones fingers on;lay ones hands on,take hold of;snap up;clutch;take;capture;pluck;catch;get;nab;seize;snatch;grasp;latch on to;snag;catch hold of;get ones hands on;get ones fingers on;lay ones hands on
"Step behind the cart and enter through the door there, using your left hand to open the door and your right – ” he looked at me “ – to close it.” “Thank you.”",close,fasten;secure;seal;slam;put a lid on;shut,stop up;cease;put to bed;lock;fasten;fold up;secure;seal;put together;dam;halt;congest;fuse;shutter;slam;put a lid on;button up;shut
