sentence,target,gold,ls_concat
"Attorney General s Page The Connecticut Attorney General s website includes a discussion of current health topics , including HMOs , Medicare , current Connecticut health legislation , and insurance issues as well as information on your rights when it comes to making health care decisions .",well,in;along;and;with,far;long;many;much;per;yl;also;known;great;�
We needed to plan well in advanced to give schools enough warning but not too much choice on times and dates as this seemed to make decisions harder !,well,sufficient;in;long;much,carefully;nicely;much;strongly;clearly;far;properly;good;long;brilliantly
And be ready to move elsewhere if you are not being treated well .,well,properly;satisfactorily;nice,properly;good;nicely;brilliantly;great;fair;carefully;kindly;effectively;fairly
"Treatment of physical problems , particularly chronic ones , is possible as well as psychological therapy .",well,in;along;including,much;also;far;long;deeply;equally;even;great;good;wel
"Fades the light ; And afar Goeth day , And the stars Shineth bright , Fare thee well ; Day has gone , Night is on .",well,good;in;bon;goodbye;excellently;successfully;healthily;safely,good;wise;truly;nicely;fair;still;great;beautifully;even;greatly
"Half the phones , half the computers , half the consumer electronic products we buy are not as well made or designed as the other half .",well,carefully;efficiently;excellently;nice,solidly;nicely;good;beautifully;properly;wonderfully;much;strongly;brilliantly;effectively
"Well , perhaps not .",Well,indeed;then,well;No;perhaps;Yes;Maybe;Okay;However;And;OK;Or
"Cupertino-based Apple is known for aggressively protecting its intellectual property , as well as its image .",well,in;along;and;including,far;much;yet;known;long;�;also;wel;quickly;many
"Well , one of Alf s intentions when he first conceived the Newsletter was that it should serve as a continuous record of the activities of the Society , and as we all know , the contents of a web page can change or disappear as fast as a bottle of wine at Hogmanay !",Well,so,However;Actually;Anyway;Although;Indeed;So;In;Unfortunately;Yes;Though
"Well now we have.  Plain English Campaign is nt stopping there , though .",Well,so,right;For;Since;Thus;That;Okay;Because;Which
"Modern hunting methods have been introduced , undermining the traditional hunting practices of the local people who have for generations sought to protect and preserve wild life .",wild,animal;untamed,forest;natural;wildlife;native;wilderness;game;feral;bird;bush;animal
"It is presumed that this is because the level of infection of IHHN virus in the wild population is relatively low , and when these wild stocks are held in captivity , the virus quickly spreads from infected broodstock to non-infected broodstock .",wild,undomesticated;untamed;non-domestic;feral;animal;outside,feral;game;live;main;natural;stock;deer;wolf;raw;forest
"Freya , orphaned as a baby and now something of a wild spirit , shares her secrets with Danny in their private place on the nearby rocky crags .",wild,free;chaotic;unrestrained,crazy;feral;reckless;wandering;mad;strange;weird;free;roaming;rough
"These wounds may be from a variety of sources : fish hooks , barbed wire , lawnmowers , traps , tree branches , cats , dogs , bullets , or , even other wild animals .",wild,undomesticated;non-captive;untamed,feral;dangerous;forest;wildlife;game;dead;crazy;live;stray;living
In the Genealogy Section a wild story about someone s Great Great Grandfather !,wild,crazy;unbelievable;amazing;incredible;dramatic,crazy;strange;weird;funny;bizarre;true;mad;cool;great;hilarious
Now it is the GW doomsayers that ignore similar geological evidence that show wild and mini climatic swings throughout the earth’s history .,wild,unpredictable;chaotic;extreme;unrestrained;irregular;huge,crazy;rapid;wildly;grand;large;erratic;weird;sudden;huge;rampant
"Lovely venue ( well as long as you go in for the wild wallpaper ) , fantastic sound system , great staff , nice cocktails and a great time had by all .",wild,crazy;unrestrained;extreme;coloured;patterned;striking;garish,crazy;weird;insane;strange;odd;cool;funny;great;wicked;bad
"You ll accuse me of being off track , and rightly so , but should nt we first ask what solution our dear Islam has provided for satisfying your wild God-given instincts , beside suppressing them for years until you get the chance to get married ?",wild,chaotic;reckless;crazy;undisciplined;unrestrained;natural,crazy;insane;mad;reckless;feral;dangerous;strange;wildly;raw;weird
The riverine habitat is extremely beautiful and the chances of seeing large wild animals are high .,wild,untamed;undomesticated;non-captive,feral;native;wildlife;forest;natural;game;live;red;stray;rare
"An endangered species is one that could become extinct in the wild in 10 to 20 years , if nothing is done to protect it .",wild,uninhabited;out;wilderness;uncultivated;its,forest;bush;park;world;wilderness;field;US;feral;game;west
" ; What happened to the big , new garbage can at Church and Chambers Streets ?",can,bin;disposal;container,could;bin;box;cann;container;bag;van;bay;cannot;ban
"After the coin has been sleeved , there is no hesitation as the can apparently covers the coin in the LH .",can,receptacle;tin,bottle;could;cant;cannot;cann;case;must;mask;cap;chain
"Instead of cleverly tricking Prosser into lying down in the mud , Ford simply distracts the workmen with a shopping trolley full of cans of lager which he just happens to have with him .",cans,tin,containers;crates;bottles;cases;boxes;jars;pens;packs;barrels;cups
"No hazardous materials such as paint , noxious chemicals , solvents , oil , petrol cans , gas bottles , tyres , asbestos , vehicle batteries , medical or biological waste .",cans,container;cannister,containers;bottles;caps;drums;pens;cylinders;boxes;filters;jars;beans
"Sources of standing water include old tires , metal cans , ceramic pots , clogged drain covers , wading pools , pool covers , bird baths , and rain barrels. ; Visit the CDC West Nile website at http://www.cdc.gov/ncidod/dvbid/westnile / .",cans,container;tin,containers;drums;pans;pots;jars;buckets;bins;bottles;barrels;pipes
Q : Do you take steel cans at the curbside ?,cans,container;bin,containers;bottles;pens;products;bins;cups;boxes;pipes;could;drinks
Aluminum  Steel Cans - Rinse aluminum and steel cans .,cans,container;tin,containers;bottles;products;jars;packaging;drums;bags;beans;boxes;cups
"Packed the soil itself into huge trash cans and in the 14 truckloads , two a day , carried soil to new house .",cans,bin;container,bins;boxes;containers;bags;jars;pans;drums;generators;pots;buckets
"Facilities are available for the recycling of paper , glass , cans , textiles , shoes , plastic bottles , cardboard , and oil .",cans,tin,containers;pens;bottles;bags;drums;cups;boxes;caps;packaging;jars
"Jan replies ... Hi Linda , One cat owner reported ,  We are now back on maintenance dose of 3/4 tablespoon of essiac mixed with one tablespoon of tuna juice ( the spring water from a can of tuna ) .",can,tin,
"So we all went out to dinner , and I found myself sitting between light and dark , which is where we all are , is nt it , and I kept feeling more attracted to the dark .",dark,gloom;shadow;night;shade;darkness;lack,darkness;black;shadow;darkened;sleep;deep;heavy;gloom;night;dim
I think that the work I do is done in the dark .,dark,night;ignorance;oblivion;uninformed,darkness;black;shadow;night;shadowy;hidden;darkened;dim;secret;sun
" One was so in the dark as to what they wanted ,  complained Edwin Lutyens , the greatest British architect of the day ,  the site so lovely , the conditions so difficult .",dark,ininformed;unsure;unclear;oblivious;uncertain;ignorant;unaware;unilluminated,darkness;black;know;loop;blind;knowledge;closet;blank;shadows;white
I think overtly making out in public can be kept somewhere in the dark .,dark,shadow;away;secret;shade;darkness,black;darkness;shadow;closet;secret;hidden;know;shade;grey;unknown
"Conversely , the most successful CEO s seem to have a knack for finding their way in the dark .",dark,obscure;night;somewhere;darkness,darkness;black;blind;shadow;unknown;night;sun;gray;wild;dim
"So to be  able to read the handwriting on the wall  has ever since been a metaphor for being able to see what s coming , especially when those around you remain in the dark .",dark,ignorant;unaware;unilluminated;oblivious;uninformed,darkness;black;numb;shadow;darkened;gloom;blank;silent;closet;know
"Go out to get some chow , and they had all slipped away in the dark of the night .",dark,gloom;black;shadow;dimness,darkness;black;rest;dead;sleep;gloom;middle;shadow;night;darkened
"Part of it is her unique view of the world , whether walking around the room telling people they are her friends , or riding around in the car after dark telling me she wants to “touch the purple night. ; Part of it is that she has Down syndrome .",dark,at;nightfall;dusk;sunset,night;midnight;darkness;school;dusk;sunset;black;dawn;nighttime;late
"Another remarkable subject is  Reality ( play loud )  , the artist embarks in a alucinogeno trip soul simply to demonstrate its vocal capacities , africanismo and the dark to us in a threatening atmosphere .",dark,sombre;mystery;shadow;night;darkness,darkness;black;unknown;darkened;sinister;mysterious;shadows;deep;night;shadowy
The cells were resuspended in 0.1 % saponin wash and mixed in the dark for 1 h. The cells were pelleted and the supernatant was discarded .,dark,absence;darkness,darkness;medium;black;infrared;darkened;dry;microwave;sun;solution;water
"However , the examination will be detailed if the applicant expressly requests it ( for example , at the same time as filing the Demand ) , or if the applicant files amendments and/or arguments ( for example , in response to the International Search Report , with the Demand or in response to a Written Opinion ; see below ) .",examination,investigation;scrutiny;inspection,exam;evaluation;interview;hearing;assessment;test;examiner;examine;investigation;analysis
From the previous examination last week the auto-immune deficiency could also be excluded .,examination,investigation;inspection;consultation;assesment,exam;inspection;analysis;evaluation;examine;investigation;examining;examiner;assessment;examined
Readers will appreciate this well-researched examination .,examination,investigation;scrutiny;enquiry;analysis,examine;investigation;examining;analysis;exam;inspection;exploration;evaluation;assessment;discussion
"As well , he will continue his examination of the transatlantic connections that fuelled the slave trade .",examination,investigation;scrutiny;study;inspection;analysis,examining;examine;exploration;analysis;investigation;interrogation;inquiry;scrutiny;study;contemplation
The US ranks 37th in a World Health Organization examination of the world s health care systems .,examination,scrutiny;study;investigation;inspection,evaluation;analysis;examine;assessment;survey;examining;exam;investigation;inspection;appraisal
"40 Among studies that found differences in procedure use in sex-discordant pairings , these differences have been seen largely in sex-specific services such as mammography screening , 25 , 35 , 39 prostate examination , 39 and pelvic examination or Papanicolaou smear testing , 25 , 35 , 39 selected procedures that may have produced differences in use rates because of their sex-specific nature .",examination,inspection;investigation;assessment;analysis,exam;examine;examining;inspection;imaging;assessment;evaluation;screening;examined;measurement
"The photograph on the surface does not show a conflict or an irony , but with close examination , the punctum —the element which stands out and punctures the stadium —becomes apparent .",examination,inspection;scrutiny;analysis,examine;inspection;analysis;scrutiny;examining;observation;consideration;assessment;study;exploration
"EXAMINATION QUESTIONS , 1961-1965 Examination Questions , ca 1961-1965 , 30 cm ( c.1 , c.21 ) Examination question papers for various courses arranged alphabetically by subject and session .",EXAMINATION,test;exam;assessment,STATE;examination;Education;ATION;DATA;SEE;ACT;ESE;METHOD;RESULTS
Examination leave also includes the mornings of days in which examinations are held in the afternoon as well as the time spent travelling to and from the examination centre .,examination,test;exam;assessment,exam;practical;examine;prelim;oath;physical;exams;SAT;inspect;fair
"I was given cardiovascular tests , including treadmill stress tests and ultrasound examinations of my heart , but apparently , things werenÂt bad enough that I was singled out for consultation .",examinations,investigation;test;inspection,exams;examines;assessments;investigations;evaluations;examining;scans;inspections;measurements;tests
"I feared only her car , and she was like a ghost , an apparition haunting the car , only a part of it , not a person .",feared,dread;be;be;be;be;be,dreaded;frightened;terrified;knew;hated;loved;trusted;despised;scared;afraid
" she asked , already fearing a negative answer but impressed by the merit of his constructive reply .",fearing,expect;anticipate;suspect;afraid,anticipating;fearful;considering;expecting;facing;risking;weighing;suffering;contemplating;planning
He fears that she will die while he is gone .,fears,worry;dread;be;be,worries;thinks;concerns;scares;believes;threatens;feels;knows;fearful;lies
"When Esther fears to enter the court unsummoned , a capital offense unless the king holds out the golden sceptre , Mordecai says  Think not with thyself that thou shalt escape in the king s house , more than all the Jews .",fears,be;dread;be;dread;scare,threatens;plans;wants;wishes;desires;tries;struggles;begins;attempts;worries
"Though the Act was well supported , it also aroused vehement opposition from those who feared it would promote the evils it was intended to remedy .",feared,worry;anticipate;suspect;be;be;be,believed;felt;thought;hoped;worried;afraid;fearful;concerned;anticipated;knew
"6th February , 2004 - View article ... Extra Home Threat to Green belt The new targets published last week could force St Albans into sacrificing more Green Belt land than was first feared .",feared,expect;anticipate;anxiously,
"Muslim-Americans need to do this bit by bit , word by word , to show our fellow citizens that America has nothing to fear from Islam .",fear,be;dread;be;worry;afraid,gain;lose;protect;worry;hide;risk;learn;suffer;scare;flee
"Many of those who founded the wargame publishing business feared that , with the anti-militarism caused by the Vietnam , and ( later ) with the adoption of the all-volunteer army , American society would become estranged from all things military , leaving ordinary citizens too ignorant to make meaningful democratic judgments where war is concerned .",feared,worry;be;suspect;be;be;be,fearful;anticipated;believed;hoped;worried;afraid;envisioned;warned;felt;knew
"Genetic engineering and human cloning are not to be feared but cherished , as they will liberate humanity from nature .",feared,dread;scared;frightened;afraid,dreaded;afraid;fearful;frightened;terrified;revered;despised;welcomed;considered;avoided
"Nothing , I fear , I haven’t said already .",fear,be;dread;believe;be;unfortunately,worry;know;wonder;think;feel;hope;mean;afraid;suppose;dread
"Do nt forget about the revolutionary exercise program and the lifestyle modification program. ) You will also learn , on the topic of diet : How to eliminate those crazy , irresistible cravings forever .",forget,overlook;neglect;inadvertently,worry;read;ignore;complain;miss;lose;talk;bother;know;bring
"But Mr. SchickeleÂs own music has not been forgotten ; his eagerly-awaited Concerto for Viola and Orchestra will receive its world premiere with The Pasadena Symphony and Danielle Farina , viola .",forgotten,cease;disregard;overlook;lose;ignore,ignored;remembered;overlooked;lost;missed;neglected;overshadowed;unnoticed;forgiven;silenced
Do nt forget to do the quick inventory and again tape it to the outside of the box .,forget,fail;omit;neglect,hesitate;neglect;fail;bother;need;want;worry;wait;miss;ignore
"Finally being super christian , I was reminded of the 2nd greatest commandment of all “You shall love your neighbour as yourself’ ; its easy to forget when you losing .",forget,overlook;let;cease,ignore;overlook;miss;remind;disregard;dismiss;neglect;lose;deny;learn
"Sometimes you might be out of the office but want to know how your database is doing , sometimes you might be in vacation , sometimes you simply forgot to run the script ( weÂre humans ) ... How can you be notified with these details ?",forgot,overlook;fail;overlook;omit,remembered;neglected;ignored;failed;missed;got;skipped;lost;dismissed;started
One must not forget that the reason why the conflict has become difficult to handle over the years is because it has grown in complexity and become something of a family war .,forget,overlook;cease;remember;fail,ignore;worry;deny;miss;overlook;disregard;neglect;misunderstand;lose;pretend
Since the last issue of Britannia we have at last seen a bit of barrack life and all rumours about the issue of the  Sennelager Star  are being forgotten .,forgotten,disregard;put;overlook;lose,remembered;ignored;dismissed;gone;buried;erased;silenced;neglected;heard;banished
Someone from the event forwarded me this quote which I had forgotten .,forgotten,not;overlook,remembered;ignored;lost;neglected;missed;omitted;overlooked;misplaced;misunderstood;written
Then to top it all off the docs forgot to enter the med rates so the oncall doc needed to be called which takes a long time .,forgot,omit;fail;fail,remembered;failed;neglected;ignored;missed;got;refused;omitted;skipped;didnt
Does he forget that it was his ministry that issued the final set of licences some three months prior to the collapse of Principal Trust ?,forget,not;omit;fail;not,overlook;know;remember;miss;realize;regret;ignore;learn;misunderstand;unaware
"Galls indeed arise from the stinging of the plant tissues by the ovipositors of female gall wasps , and the egg laid in the plant tissues develops inside the gall into a grub , which eventually emerges full-grown and transformed into a mature gall wasp .",gall,pn;secretion,leaf;tooth;wall;bell;genital;gold;lung;stomach;plague;moss
"These include laparoscopic gall bladder surgery and reflux disease surgery , non-cardiac thoracoscopic chest surgery , and certain cardiotomy procedures such as mitral valve repair .",gall,pn,gold;urinary;gal;round;gas;valve;bell;wall;kidney;pill
" ( Adams , pp.196-9 ) What arrogance and gall it took to write those words and demand that they be spoken by Native tongues .",gall,audacity;impudence;nerve;effrontery;temerity;cheek,bravery;courage;skill;arrogance;cruelty;greed;stupidity;brutality;heroism;madness
"In the case of my gall bladder removal , I was out the next day .",gall,pn;bile-producing,gal;pill;round;gast;gold;bell;gas;stomach;g;burst
Even galls that formed on their trunks were eaten .,galls,grub;pustule;abnormal,alls;gaps;drains;gases;glaciers;algae;valves;hurdles;moss;wells
"Come to my woman s breasts , And take my milk for gall , you murdering ministers , Wherever in your sightless substances You wait on nature s mischief !",gall,bile;rancor;poison;bitter;cheek,gas;gold;coin;liberty;hell;mine;gal;joy;mustard;piss
"And the morans have the gall to ruin Beethovens 6th in the process , too .",gall,cheek;audacity;nerve;effrontery;temerity,grace;nerve;taste;hell;conscience;wisdom;virtue;gal;coin;humour
"Etym : From the Gaelic name Dubhghall , from dubh  black  + gall  stranger  .",gall,unknown,g;green;Irish;gr;lil;gal;la;dark;grey;great
"Galls indeed arise from the stinging of the plant tissues by the ovipositors of female gall wasps , and the egg laid in the plant tissues develops inside the gall into a grub , which eventually emerges full-grown and transformed into a mature gall wasp .",Galls,abnormal;blister,alls;ales;falls;balls;flies;als;shall;gall;gal
"In Boston Magazine s glowing blurb on Via Matta , it had the extraordinary gall to say this :  Via Matta has unquestionably found its niche with Boston s it crowd .",gall,cheek;audacity;nerve;effrontery;temerity,grace;courage;right;nerve;virtue;wisdom;bravery;spring;sense;daring
 What is the world to do in the face of these grim predictions ?,grim,bleak;severe;horrific;dire;doom;doomy;negative;horrible,dire;gruesome;bleak;ominous;deadly;terrifying;dreadful;gloomy;dark;frightening
"“He too can only watch in deepening despair as the grim work proceeds. ; Looks more like resignation to me , but AudioVision is not interested in letting us make up our own minds. “Finally , the military police carry the crates away for disposal. ; No , they just take them away .",grim,unrelenting;unpleasant;gruesome;terrible;horrific;horrible,gruesome;bleak;perilous;dire;dreadful;murderous;deadly;dismal;dark;harrowing
"Id rather go face down , fast , in a plate of chili at 76 than suffer the grim attenuations of mental decay and wander off this mortal plane at 78 .",grim,morbid;dire;dismal;depressing;unpleasant;bleak;terrible,gruesome;dire;stark;bleak;harrowing;terrifying;brutal;vast;deadly;daunting
Vincent van Gogh in 1880 was a 27-year-old failure : a despised and rejected clergyman in a grim backwater mining town in Belgium .,grim,gloomy;harsh;horrid;depressing;bleak,bleak;gruesome;dusty;gritty;dismal;rough;desolate;poor;gloomy;remote
Hoarding and saving react with grim vengeance .,grim,unrelenting;dire;ghastly;sinister;dark;horrific;horrible,gruesome;deadly;dire;bleak;murderous;fearsome;brutal;stark;bloody;dim
" Once that grim reality had sunk in , Kubrick s response was an extraordinary tribute to Sellers as an actor :  We ca nt replace him with another actor , we ve got to get an authentic character from life , someone whose acting career is secondary-a real-life cowboy .",grim,harsh;horrid;dismal;awful;depressing;unpleasant,bleak;gruesome;dire;dreadful;stark;ominous;harrowing;harsh;horrifying;frightening
"Their trip had been a grim struggle with wet pitches , friable rock and bad bolts : they had reached the 1979 limit , but failed to go further .",grim,unrelenting;harsh;severe;awful;harrowing;gloomy;difficult,gruesome;bleak;rough;dire;harrowing;dreadful;perilous;deadly;fearsome;tough
I m concerned that they re so grim and angry .,grim,forbidding;severe;harsh;stern;gloomy;serious,bleak;dark;gloomy;gruesome;dire;sad;tense;solemn;sour;angry
 That s Lawrence Kaplan  s grim verdict from Baghdad .,grim,gloomy;dire;appalling;depressing;bleak;dark,gruesome;bleak;dire;dim;deadly;gloomy;brutal;ominous;cold;smug
It started out looking pretty grim but we had pretty good rainfall in April and May .,grim,gloomy;dire;severe;dismal;unpromising,bleak;gloomy;dire;dismal;cloudy;dark;gruesome;bad;rough;scary
" Â  50 dollars  , I lie .",lie,fib;say;say,tell;fib;fake;die;say;try;cheat;write;mean;lay
"But in spite of this truth , just as you in the position of aspirants and disciples know much about the Hierarchy , its life , aims and conditioning rules , so do I , a Master of the fifth degree , know much concerning what lies ahead of me ; I can therefore endeavor to make some small part of these essential truths clearer to those who can profit by them .",lies,wait;remain;untruths;be;falsehoods,lays;comes;remains;lay;awaits;falls;rests;looms;hides;hunts
I lie down on my futon -bed with a tiny bean-filled pillow under my neck .,lie,stretch;rest;recline;get;recline,lay;fall;sit;settle;stay;squat;bed;die;come;write
"For example , suppose that on the return trip from Deneb to Earth the astronauts lay down Tube II rather than traveling back in Tube I , the first tube they produced .",lay,put;extend;place;had,lie;put;write;placed;set;wrote;cut;place;cast;drop
"What lies beneath the amphoras and the muck -- perhaps the ship s wooden hull , tools , personal items and coins , which would help pinpoint the date of the sinking -- can only be learned by excavation .",lies,rest;remain;can;hide;be;be,lays;lives;remains;resides;hides;exists;sits;floats;treasures;rests
"  You ca nt lie in front of the bulldozer indefinitely   I m game ...   Zaphod , you look good .",lie,recline;stay;recline;stretch,lay;die;sit;fall;stay;sleep;get;come;nap;run
"He went on farther , and in the great hall he saw the whole of the court lying asleep , and up by the throne lay the King and Queen .",lay,rest;be;recline;reclined,lie;sat;lied;lies;stood;rested;lying;came;rose;set
Grabbed the blaster lying on the seat next to her and fired up at him .,lying,resting;sit;that;place;position,laying;sitting;falling;hanging;floating;staying;standing;resting;kneeling;sleeping
"Whether itÃ¢ÂÂs lying through omission , lying through misdirection , or outright lies , itÃ¢ÂÂs awfully hard to extract nuggets of truth from the noise .",lying,fib;fibbing;falsify;telling;telling;deceive,deception;writing;dying;perjury;misleading;joking;laying;talking;killing;sitting
"You re naked , lying in your bed surrounded by sex toys , with an empty bottle of lube and a videotape lying next to you .",lying,arrange;lay;situate;leave;resting,laying;kneeling;dying;standing;sleeping;sitting;posing;floating;writing;hanging
"It is human nature to fight unfairly ; therefore , we need to think in advance and rehearse in advance how to fight fairly , so we wo nt get nasty when we get angry .",nasty,unpleasant;vicious;spiteful;horrible,bitter;vicious;ugly;unpleasant;nicer;dirty;rude;tough;sick;hateful
He did nt say anything and kept smiling an insincere and nasty smile .,nasty,unpleasant;spiteful;mean;malicious;disagreeable,vicious;bitter;ugly;unpleasant;vile;hateful;disgusting;negative;cruel;dirty
The Mountain :  Conditions are about to get nasty .,nasty,unpleasant;disagreeable;inhospitable,ugly;vicious;unpleasant;bitter;nicer;brutal;horrible;tough;bloody;worse
"And will probably stay nasty during the next administration , no matter who wins .",nasty,unpleasant;unpalatable;mean;malicious,bitter;ugly;unpleasant;vicious;brutal;nicer;violent;abusive;bloody;ruthless
"The nasty party after all October 10 , leader : Iain Duncan Smith delivered a speech to the 2003 Tory party conference in Blackpool yesterday that was nasty , brutish and long .",nasty,unpleasant;vindictive;painful;malicious;disagreeable,bitter;vicious;ugly;unpleasant;noisy;tough;nicer;cruel;filthy;dirty
 ( on playing Verdasco )  He s nasty .,nasty,mean;unpleasant;spiteful;vicioous,ugly;vicious;sick;vile;brutal;cruel;rude;mean;disgusting;dirty
"Lewis Gilbert’s 1966 misogynistic rake’s progress always depended on the cheek , charm and chutzpah of the Kohl-eyed Caine’s iconic Cockney cocksman to take away the nasty taste in one’s mouth .",nasty,unpleasant;foul;bad;bitter;horrible,unpleasant;bitter;ugly;sour;awful;vile;vicious;horrible;sick;bad
"I would like a big , nasty , mean , ugly automatic rifle or grenade launcher that I could fire at any car whose alarm blares repeatedly .",nasty,mean;vicious;dirty;unpleasant;formidable;horrible;dangerous,ugly;vicious;dirty;bad;bitter;noisy;disgusting;unpleasant;horrible;rude
"A few years ago , when most monitors used 256 colours , it was important to use the Web Safe palette to avoid nasty dithering .",nasty,unpleasant;annoying;objectionable,ugly;unpleasant;bad;naughty;noisy;messy;vicious;awful;horrible;annoying
"These programs , called malware , can do nasty things like spy on you when you use your PC and allow hackers to access your hard drive .",nasty,mean;bad;unpleasant;malicious;objectionable;offensive,horrible;bad;awful;unpleasant;naughty;vicious;ugly;disgusting;terrible;scary
" I m glad we made lots of money , though it nearly cost the two of you your sanity .",nearly,almost,frequently;quickly;practically;almost;may;fairly;near;rapidly;truly;briefly
"In the 1997 elections , constitutional nationalism nearly lost out to republicanism .",nearly,almost,frequently;almost;rapidly;near;quickly;narrowly;largely;fairly;practically;virtually
"Fire Lookout Museum 123 W. Westview Spokane , WA 99218 ( 509)466-9171 email : rkresek@webtv.net INTRODUCTION During the summer of 2000 , the Inland Northwest United States experienced a wildfire season nearly unprecedented in America .",nearly,almost;practically,largely;near;almost;virtually;essentially;fairly;practically;roughly;seemingly;mostly
"HOUSTON , Texas ( CNN ) -- Human remains found in a field in Texas late Saturday are believed to be those of at least one of the seven astronauts who perished aboard space shuttle Columbia when it disintegrated nearly 40 miles above the Earth .",nearly,almost;approximately,roughly;near;approximately;rapidly;almost;perhaps;around;abruptly;partially;beneath
"Geographically , the West Bank , then under Jordanian rule and occupation , cut Israel nearly in half .",nearly,almost;practically;approximately,roughly;fairly;near;almost;virtually;largely;essentially;approximately;practically;frequently
I had nt nearly finished the work at hand .,nearly,almost;anyway;anywhere;remotely;even,near;frequently;quickly;quite;almost;shortly;yet;completely;entirely;fairly
"Comprised of thousands of small , independent units , the printing industry employs nearly 1 million in some 60,000-100,000 plants and accounts for somewhere in the neighborhood of 100 billion dollars in business every single year , while at the same time , contributing to toxic air emissions and solid and chemical waste problems on an ever-growing scale .",nearly,almost,roughly;approximately;frequently;almost;fairly;several;near;perhaps;virtually;precisely
"In fact , according to his congressional biography , Murtha was on active duty for six years at most ( 1952-55 and 1966-67 ) ; the rest of the time , including some 16 of his nearly 32 years in the House , he was a reservist .",nearly,almost,roughly;almost;approximately;near;fairly;perhaps;frequently;largely;typically;first
"Semantically , FDR COULD be the cause of the Great Depression if you think , as I do , that the recession wouldn’t have lasted nearly as long without all his taxes , price fixing , wage fixing , and regulations .",nearly,half;anyway;anything;almost;quite;even,quite;approximately;near;roughly;frequently;perhaps;fairly;particularly;shortly;entirely
"In the preceding decade of political struggle , Ms. Bhutto was arrested on numerous occasions ; in all she spent nearly 6 years either in prison or under detention for her dedicated leadership of the then opposition Pakistan Peoples Party .",nearly,almost;approximately,roughly;approximately;frequently;almost;near;perhaps;virtually;practically;several;around
" Our peak is early November , but it has gotten a little later as the years go by ,  said Dave Menke , the U. S. Fish and Wildlife Service s Klamath Refuge Complex outdoor recreation specialist .",outdoor,open-air;outside;outward-bound,outdoors;outside;environmental;area;native;wilderness;extended;exterior;online;wildlife
"The goals for the camp include : 1 ) Outdoor experiences 2 ) Social integration ( English and Spanish speakers ) 3 ) Academic learning in the outdoors Students will plan and lead a variety of games and activities including , but not limited to : math lessons , art projects , games , and outdoor leadership/teambuilding initiatives .",outdoor,open-air;outside;outward-bound,outdoors;wild;near;playground;weather;lawn;cub;public;indoors;battlefield
Outdoor Electrical Safety Check Tips For The Safe Outdoor Use Of Electricity ESFi Electrical Safety Foundation International Published as a public service by the Electrical Safety Foundation International in cooperation with the U.S. Consumer Product Safety Commission and the Canada Safety Council .,Outdoor,outside;external,The;Free;International;Basic;Global;Best;New;Recommended;Special;US
"According to John Reichling of Camp , Dresser  McKee , an environmental engineering firm in Cambridge , Mass. ,  shelter in place  also involves architectural changes such as widening hallways , enlarging rooms , and enclosing outdoor hallways .",outdoor,external;outside;open-air;uncovered,outside;outdoors;exterior;outer;external;internal;inner;patio;additional;rooftop
"A bridge takes one over into the outdoor space that is the heart of the home , the nucleus , held on each side by the three structures that surround it .",outdoor,outside;external;open-air;uncovered,outside;outdoors;outer;external;exterior;backyard;patio;open;surrounding;enclosed
"Work : In a Landscape protected area , making the birds little wooden houses , springs and little rivers cleaning , outdoor environmental work .",outdoor,open-air;outside,outside;outdoors;external;environmental;urban;informal;local;underground;exterior;online
IATSE donated free labor and an outdoor sound system .,outdoor,open-air;outside;external;all-weather,outside;outdoors;exterior;external;additional;outer;inside;underground;optional;indoors
"This is about as big as most finecky fine-art photographers require , and even outdoor billboards are routinely made from files with less resolution that this .",outdoor,external;outside;roadside;open-air,outside;outdoors;exterior;online;rooftop;backyard;urban;nearby;suburban;sidewalk
"Active children and adults , and people with respiratory disease , such as asthma , should avoid prolonged outdoor exertion ; everyone else , especially children , should limit prolonged outdoor exertion .",outdoor,open-air;outside,outdoors;outside;external;indoors;exterior;physical;underground;outward;environmental;online
"With the growing demand for these fine garden furnishings , they found it necessary to dedicate a portion of their business to outdoor living and patio furnishings .",outdoor,alfresco;open-air;outside,outdoors;exterior;outer;patio;informal;outward;external;online;indoors;urban
"Due to China s economic reliance on trade , balance of payments should be the main factor for judging whether the yuan exchange rate is reasonable .",reasonable,fair;sensible;good;good;reliable,reasonably;realistic;acceptable;sufficient;sensible;necessary;rational;justified;sane;normal
Copyright law already addressed the issue in a much more reasonable manner .,reasonable,sensible;measured;rational;well-judged;reliable,rational;reasonably;sensible;responsible;fair;fairly;legitimate;correct;realistic;humane
 What we require now is the co-operation from the Federal Government to provide a flow of mortgage money through CMHC at reasonable interest rates and to encourage the conventional loans to be channelled into smaller units so that we may have the opportunity of the best housing and building programme in Canada in 1971 .,reasonable,moderate;acceptable;inexpensive;fair;affordable,reasonably;modest;moderate;responsible;affordable;acceptable;sensible;suitable;sufficient;realistic
"For reasonable people , sure that ll suffice .",reasonable,sensible;rational;fair;equitable,rational;sensible;normal;sane;responsible;decent;reasonably;conservative;progressive;asonable
Your objective should be to negotiate a contract type and price ( or estimated fee and cost ) that will result in reasonable contractor risk and provide the contractor with the greatest incentive for efficient and economical contract performance .,reasonable,moderate;acceptable;fair;justifiable;manageable;appropriate,minimal;rational;acceptable;modest;reasonably;responsible;moderate;minimum;appropriate;substantial
